	shannon
Italy.Root.It.It15.1.V5	6.32854232245
Italy.Root.It.It15.2.V5	6.41865464397
Italy.Root.It.It15.3.V5	6.24200256615
Italy.Root.It.It24.1.V5	6.29147749896
Italy.Root.It.It24.2.V5	6.33320503712
Italy.Root.It.It24.3.V5	5.94857200168
Italy.Root.It.It32.1.V5	6.33499811369
Italy.Root.It.It32.2.V5	6.44858658384
Italy.Root.It.It32.3.V5	5.46757556425
Italy.Root.It.It41.1.V5	5.78748500658
Italy.Root.It.It41.2.V5	6.26329339461
Italy.Root.It.It41.3.V5	5.59316815677
Italy.Root.It.Sw11.1.V5	6.47972456051
Italy.Root.It.Sw11.2.V5	5.92599882751
Italy.Root.It.Sw11.3.V5	6.12593412724
Italy.Root.It.Sw43.1.V5	5.65252965509
Italy.Root.It.Sw43.2.V5	5.96426601092
Italy.Root.It.Sw43.3.V5	6.03298558158
Italy.Root.It.Sw47.1.V5	6.10287317182
Italy.Root.It.Sw47.2.V5	6.32789873543
Italy.Root.It.Sw47.3.V5	4.9354024322
Italy.Root.It.Sw7.1.V5	6.12461409015
Italy.Root.It.Sw7.2.V5	5.10641354452
Italy.Root.It.Sw7.3.V5	6.30431870527
Italy.Root.Sw.It15.1.V5	6.46892838627
Italy.Root.Sw.It15.2.V5	6.25448915487
Italy.Root.Sw.It15.3.V5	6.04460824621
Italy.Root.Sw.It24.1.V5	6.27602118356
Italy.Root.Sw.It24.2.V5	6.57255353755
Italy.Root.Sw.It24.3.V5	6.55209901195
Italy.Root.Sw.It32.1.V5	6.23462905389
Italy.Root.Sw.It32.2.V5	6.43604851564
Italy.Root.Sw.It32.3.V5	6.25635856953
Italy.Root.Sw.It41.1.V5	6.4721456485
Italy.Root.Sw.It41.2.V5	6.45107347144
Italy.Root.Sw.It41.3.V5	6.513452114
Italy.Root.Sw.Sw11.1.V5	6.02819392215
Italy.Root.Sw.Sw11.2.V5	4.8987419043
Italy.Root.Sw.Sw11.3.V5	6.68988031553
Italy.Root.Sw.Sw43.1.V5	4.75110477909
Italy.Root.Sw.Sw43.2.V5	5.80259189487
Italy.Root.Sw.Sw43.3.V5	5.90962207349
Italy.Root.Sw.Sw47.1.V5	6.19188838806
Italy.Root.Sw.Sw47.2.V5	6.17560871128
Italy.Root.Sw.Sw47.3.V5	5.72818534486
Italy.Root.Sw.Sw7.1.V5	6.23276309555
Italy.Root.Sw.Sw7.2.V5	5.89789630631
Italy.Root.Sw.Sw7.3.V5	5.90880690312
Italy.Soil.It.It15.1.V5	7.52223677938
Italy.Soil.It.It15.2.V5	7.4300704131
Italy.Soil.It.It15.3.V5	7.31811888588
Italy.Soil.It.It24.1.V5	7.37942048969
Italy.Soil.It.It24.2.V5	7.38489113567
Italy.Soil.It.It24.3.V5	7.36908171042
Italy.Soil.It.It32.1.V5	7.37650990953
Italy.Soil.It.It32.2.V5	7.50696299077
Italy.Soil.It.It32.3.V5	7.34131571085
Italy.Soil.It.It41.1.V5	7.28750713207
Italy.Soil.It.It41.2.V5	7.21362654615
Italy.Soil.It.It41.3.V5	6.14291129479
Italy.Soil.It.Sw11.1.V5	7.49143892401
Italy.Soil.It.Sw11.2.V5	7.40033544467
