Italy.Root.Sw.Sw11.3.ITS1	Italy.Soil.It.Sw11.3.ITS1	Italy.Root.Sw.Sw43.2.ITS1	Italy.Soil.It.Sw11.2.ITS1	Italy.Soil.Sw.It41.3.ITS1	Italy.Soil.It.Sw7.3.ITS1	Italy.Soil.It.It24.3.ITS1	Italy.Root.Sw.It32.2.ITS1	Italy.Soil.Sw.It32.1.ITS1	Italy.Soil.Sw.Sw47.2.ITS1	Italy.Soil.Sw.It15.2.ITS1	Italy.Soil.It.It15.3.ITS1	Italy.Root.Sw.Sw47.3.ITS1	Italy.Soil.Sw.It24.3.ITS1	Italy.Soil.It.It41.3.ITS1	Italy.Root.Sw.It24.1.ITS1	Italy.Soil.Sw.It15.1.ITS1	Italy.Root.Sw.Sw7.1.ITS1	Italy.Soil.It.It32.2.ITS1	Italy.Root.Sw.Sw11.1.ITS1	Italy.Soil.It.It32.3.ITS1	Italy.Soil.It.It41.1.ITS1	Italy.Soil.It.Sw11.1.ITS1	Italy.Soil.It.It24.2.ITS1	Italy.Soil.Sw.Sw7.2.ITS1	Italy.Soil.It.Sw43.2.ITS1	Italy.Root.Sw.Sw47.2.ITS1	Italy.Root.Sw.It24.3.ITS1	Italy.Root.Sw.Sw47.1.ITS1	Italy.Soil.It.Sw7.1.ITS1	Italy.Soil.Sw.It15.3.ITS1	Italy.Root.Sw.It24.2.ITS1	Italy.Soil.Sw.Sw47.1.ITS1	Italy.Soil.It.Sw47.1.ITS1	Italy.Root.Sw.It41.3.ITS1	Italy.Root.Sw.Sw43.3.ITS1	Italy.Soil.Sw.Sw43.3.ITS1	Italy.Root.Sw.It32.3.ITS1	Italy.Soil.Sw.Sw11.1.ITS1	Italy.Root.Sw.It41.2.ITS1	Italy.Root.Sw.Sw43.1.ITS1	Italy.Soil.It.Sw43.3.ITS1	Italy.Soil.It.It15.2.ITS1	Italy.Soil.It.Sw47.2.ITS1	Italy.Soil.Sw.It32.3.ITS1	Italy.Soil.Sw.It24.2.ITS1	Italy.Soil.Sw.Sw43.1.ITS1	Italy.Soil.Sw.Sw11.3.ITS1	Italy.Root.Sw.It41.1.ITS1	Italy.Soil.It.Sw43.1.ITS1	Italy.Soil.Sw.Sw43.2.ITS1	Italy.Soil.Sw.It32.2.ITS1	Italy.Soil.It.It41.2.ITS1	Italy.Root.Sw.It15.1.ITS1	Italy.Soil.It.Sw47.3.ITS1	Italy.Soil.Sw.Sw11.2.ITS1	Italy.Soil.Sw.It24.1.ITS1	Italy.Soil.Sw.Sw7.3.ITS1	Italy.Soil.Sw.Sw47.3.ITS1	Italy.Root.Sw.It15.2.ITS1	Italy.Root.Sw.Sw7.2.ITS1	Italy.Root.Sw.It15.3.ITS1	Italy.Soil.Sw.Sw7.1.ITS1	Italy.Soil.It.Sw7.2.ITS1	Italy.Soil.Sw.It41.2.ITS1	Italy.Soil.Sw.It41.1.ITS1	Italy.Root.Sw.Sw7.3.ITS1	Italy.Soil.It.It24.1.ITS1	Italy.Soil.It.It15.1.ITS1	Italy.Soil.It.It32.1.ITS1	Italy.Root.Sw.Sw11.2.ITS1	Italy.Root.Sw.It32.1.ITS1	Italy.Root.It.Sw7.1.ITS1	Sweden.Root.Sw.Sw.6.ITS1	Italy.Root.It.It32.2.ITS1	Sweden.Soil.Sw.Sw.2.ITS1	Sweden.Root.Sw.Sw.2.ITS1	Italy.Soil.Unplanted.Ita.1.ITS1	Sweden.Root.Sw.Sw.1.ITS1	Sweden.DP.Soil.Sw.Sw.3.ITS1	Sweden.Root.Sw.Sw.3.ITS1	Italy.Root.It.It41.1.ITS1	Sweden.Root.Sw.Sw.4.ITS1	Italy.Root.It.Sw7.2.ITS1	Sweden.Soil.Unplanted.Sw.3.ITS1	Italy.Root.It.It24.3.ITS1	Sweden.DP.Soil.Sw.It.3.ITS1	Italy.Soil.Unplanted.Ita.2.ITS1	Sweden.Soil.Sw.Sw.5.ITS1	Italy.Root.It.Sw7.3.ITS1	Sweden.Soil.Sw.Sw.1.ITS1	Italy.Root.It.Sw43.2.ITS1	Italy.Root.It.It15.1.ITS1	Italy.Root.It.It15.2.ITS1	Italy.Root.It.It41.3.ITS1	Sweden.DP.Soil.Sw.Sw.1.ITS1	Sweden.Soil.It.Sw.2.ITS1	Sweden.Soil.Unplanted.It.2.ITS1	Sweden.Soil.It.Sw.1.ITS1	Italy.Root.It.Sw43.1.ITS1	Sweden.Root.Sw.Sw.5.ITS1	Sweden.DP.Soil.It.Sw.1.ITS1	Sweden.Root.It.Sw.1.ITS1	Sweden.Root.It.Sw.4.ITS1	Italy.Soil.Unplanted.Swe2.ITS1	Sweden.Soil.Unplanted.It.1.ITS1	Italy.Root.It.Sw47.2.ITS1	Italy.Root.It.Sw43.3.ITS1	Italy.Root.It.It41.2.ITS1	Sweden.DP.Soil.Sw.It.1.ITS1	Italy.Root.It.Sw11.1.ITS1	Sweden.Soil.Sw.Sw.4.ITS1	Sweden.Soil.It.Sw.6.ITS1	Sweden.Soil.Unplanted.Sw.2.ITS1	Italy.Root.It.Sw11.2.ITS1	Italy.Soil.Unplanted.Swe1.ITS1	Sweden.Root.It.Sw.3.ITS1	Italy.Root.It.Sw11.3.ITS1	Sweden.Soil.Sw.Sw.6.ITS1	Sweden.Soil.Unplanted.Sw.1.ITS1	Italy.Soil.Unplanted.Swe3.ITS1	Sweden.Root.It.Sw.6.ITS1	Italy.Root.It.It24.2.ITS1	Italy.Root.It.Sw47.1.ITS1	Italy.Root.It.Sw47.3.ITS1	Sweden.Soil.It.Sw.5.ITS1	Sweden.DP.Soil.It.It.3.ITS1	Italy.Root.It.It24.1.ITS1	Sweden.Soil.Sw.Sw.3.ITS1	Sweden.DP.Soil.Sw.It.2.ITS1	Sweden.DP.Soil.It.Sw.3.ITS1	Italy.Root.It.It32.1.ITS1	Sweden.DP.Soil.Sw.Sw.2.ITS1	Sweden.Root.It.Sw.5.ITS1	Sweden.Soil.It.Sw.3.ITS1	Sweden.DP.Soil.It.It.2.ITS1	Sweden.Root.It.Sw.2.ITS1	Sweden.Soil.Unplanted.It.3.ITS1	Italy.Root.It.It32.3.ITS1	Sweden.DP.Soil.It.It.1.ITS1	Italy.Root.It.It15.3.ITS1	Sweden.DP.Soil.It.Sw.2.ITS1	Sweden.Soil.It.Sw.4.ITS1	Italy.Soil.Unplanted.Ita.3.ITS1
OTU_8	9518	1546	0	1233	892	867	314	33	22	0	149	1276	181	592	363	1404	69	152	310	0	2287	1081	1591	181	1	5301	458	374	0	379	821	41	571	143	1125	413	231	1876	3	1843	70	1290	560	1156	46	2	60	2012	0	827	2	19	201	22	36	0	88	64	7	37	3	443	244	113	1135	3	0	210	25	77	0	0	4588	0	3729	1	1	5	0	0	0	195	0	2839	0	1637	3	0	2	3762	1	1910	313	493	93	0	0	1	0	2767	1	9	1	3	1	3	54	121	1959	2	3772	4	1	0	846	2	0	43	0	0	8	1	441	1956	4	0	2	186	2	0	1	331	1	0	0	1	0	0	19	2	101	1	0	0
OTU_33	1007	0	1162	0	38	0	0	197	461	41	391	0	1091	1	1	207	5666	1041	0	292	0	0	0	0	604	0	178	43	1589	0	10	458	91	0	34	91	42	360	48	159	0	0	0	0	12	186	148	631	140	0	168	36	0	704	0	894	19	467	95	40	299	155	60	0	103	78	74	0	0	0	0	0	0	33	0	127	638	0	288	20	101	0	380	0	5	0	112	0	108	0	113	0	0	0	0	167	0	0	0	0	836	8	0	1	47	0	0	0	0	328	0	124	0	3	0	38	0	0	108	11	36	0	0	0	0	0	0	0	52	7	0	0	58	0	2	0	0	0	0	0	0	0	0	0
OTU_70	57	1527	6	216	84	178	48	5	176	100	439	26	15	242	22	3	850	5	10	48	47	370	189	22	47	204	131	4	27	11	27	15	228	16	2	3	229	22	100	5	1	165	503	39	37	67	135	336	2	146	113	280	66	3	95	108	156	446	80	0	1	7	40	9	207	237	1	21	6	27	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	6	0	106	0	3	0	0	0	0	2	0	0	0	77	3	0	3	4	3	560	3	0	0	18	0	0	0	39	0	3	537	0	0	0	0	920	0	3	1	0	1	0	0	0	0	2	0	0	0	43	6	3	4	52	0	0	8	0	49
OTU_145	28	17	0	14	17	167	114	0	7	7	111	101	0	2	183	0	13	0	3	0	54	61	77	111	9	90	1	0	1	268	0	0	6	8	1	0	30	0	13	4	1	107	108	63	2	5	13	159	0	120	18	15	13	0	55	58	0	16	38	0	0	1	7	23	81	0	0	18	8	5	0	0	11	0	57	0	0	566	0	8	0	0	0	0	0	8	0	72	0	1	1	0	0	0	22	3	1	0	6	1	0	0	0	0	48	0	0	0	3	1	0	0	5	0	0	65	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	3	0	0	2	1	5	0	0	0
OTU_61	0	0	0	0	0	0	0	8834	0	0	14	0	0	0	0	90	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	8	0	0	0	8	0	0	3	0	0	0	0	2	2	0	4	147	0	1	3	0	250	0	0	3	0	1	8	0	1	0	0	0	0	38	0	0	0	0	0	0	0	0	0	3	0	0	13	5	0	8	0	3	0	2	0	2	0	7	0	0	0	0	68	0	0	0	17	0	3	0	0	0	0	0	0	0	168	258	2	0	0	0	5	1	0	21	0	62	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU_2121	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_39	195	18	5	1	27	41	0	0	0	5943	10	0	70	4	0	88	7508	4	0	0	1	7	1	1	2	4	0	1	0	0	1	0	126	0	0	272	106	1570	6	0	0	0	0	1	5	2	0	121	0	0	0	4	0	100	0	11	0	2	1	0	0	0	9	1	30	215	0	2	0	11	0	0	0	93	0	0	0	0	0	0	5	0	0	0	7	0	669	0	91	2	16	2	0	3	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	856	0	2	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	15	1051	0	0	1	0	0	5	0	2	0	0	1	0	1	0
OTU_389	5	0	5	0	1	0	0	0	19	6	20	0	0	5	0	0	269	5	0	0	0	0	0	0	7	0	3	0	0	0	0	0	8	0	0	0	3	0	20	0	0	0	0	0	1	15	37	1	1	0	10	5	0	0	0	82	0	11	6	1	2	0	9	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_51	0	0	0	2	3	1	0	0	48	7	20	0	0	0	0	1	165	0	3	0	0	0	0	0	0	0	0	0	23	0	1	2	0	2	0	6	124	18	13	0	0	0	0	0	10	8	0	15	0	0	6	5	0	0	0	21	0	27	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	52	0	805	85	0	115	1303	47	0	90	0	9	0	774	0	358	0	1562	0	0	0	0	1956	0	0	0	0	100	3	0	0	17	3	0	0	0	606	0	1145	1	0	0	57	0	0	821	0	0	0	4	0	0	0	0	0	429	248	0	0	2762	0	0	0	0	0	0	0	0	0	2	0
OTU_20	419	0	0	0	19	0	1	5	27	184	39	0	2287	38	0	5	42	908	0	53	0	0	5	0	3	0	29	172	56	1	4	183	853	0	20	530	13	490	14	1	297	0	0	0	4	12	16	111	7	1	40	4	1	159	0	1	3	2	66	755	233	19	1	0	7	1	9	7	17	0	0	0	0	3728	0	252	4477	0	3952	83	1166	0	3004	0	16	0	342	0	657	1	488	0	0	1	1	496	0	0	2	0	1657	12	0	1	10	154	1	0	5	390	0	1053	0	120	1	13	1	0	1471	4	0	0	0	1	0	1	0	0	159	377	0	0	146	0	1	0	0	0	0	10	0	0	0	0
