	shannon
Italy.Root.Sw.Sw11.3.ITS1	4.03627505099
Italy.Soil.It.Sw11.3.ITS1	5.05760621933
Italy.Root.Sw.Sw43.2.ITS1	3.99018264828
Italy.Soil.It.Sw11.2.ITS1	6.07086457714
Italy.Soil.Sw.It41.3.ITS1	6.05584034458
Italy.Soil.It.Sw7.3.ITS1	4.67748412026
Italy.Soil.It.It24.3.ITS1	4.62332512126
Italy.Root.Sw.It32.2.ITS1	3.67672169199
Italy.Soil.Sw.It32.1.ITS1	5.41163345762
Italy.Soil.Sw.Sw47.2.ITS1	4.69773843152
Italy.Soil.Sw.It15.2.ITS1	5.38801981248
Italy.Soil.It.It15.3.ITS1	5.62118918709
Italy.Root.Sw.Sw47.3.ITS1	3.59537710708
Italy.Soil.Sw.It24.3.ITS1	5.98253803444
Italy.Soil.It.It41.3.ITS1	5.64453227628
Italy.Root.Sw.It24.1.ITS1	3.56255982655
Italy.Soil.Sw.It15.1.ITS1	4.55078709822
Italy.Root.Sw.Sw7.1.ITS1	4.31931523818
Italy.Soil.It.It32.2.ITS1	3.71635925017
Italy.Root.Sw.Sw11.1.ITS1	3.64890896518
Italy.Soil.It.It32.3.ITS1	4.42967999488
Italy.Soil.It.It41.1.ITS1	5.02229327749
Italy.Soil.It.Sw11.1.ITS1	4.63304500115
Italy.Soil.It.It24.2.ITS1	5.62816056462
Italy.Soil.Sw.Sw7.2.ITS1	5.68683948943
Italy.Soil.It.Sw43.2.ITS1	5.8377322416
Italy.Root.Sw.Sw47.2.ITS1	3.47262729372
Italy.Root.Sw.It24.3.ITS1	4.52859100799
Italy.Root.Sw.Sw47.1.ITS1	4.59635796589
Italy.Soil.It.Sw7.1.ITS1	5.47902951755
Italy.Soil.Sw.It15.3.ITS1	5.22388083708
Italy.Root.Sw.It24.2.ITS1	5.67676866222
Italy.Soil.Sw.Sw47.1.ITS1	5.87559562167
Italy.Soil.It.Sw47.1.ITS1	4.80387928063
Italy.Root.Sw.It41.3.ITS1	3.82400935886
Italy.Root.Sw.Sw43.3.ITS1	2.56521469326
Italy.Soil.Sw.Sw43.3.ITS1	5.30655913499
Italy.Root.Sw.It32.3.ITS1	4.76667807767
Italy.Soil.Sw.Sw11.1.ITS1	5.4473823875
Italy.Root.Sw.It41.2.ITS1	5.02604640376
Italy.Root.Sw.Sw43.1.ITS1	4.17599886179
Italy.Soil.It.Sw43.3.ITS1	4.39989994247
Italy.Soil.It.It15.2.ITS1	5.61473798773
Italy.Soil.It.Sw47.2.ITS1	5.32957785201
Italy.Soil.Sw.It32.3.ITS1	6.31034886003
Italy.Soil.Sw.It24.2.ITS1	5.67180138389
Italy.Soil.Sw.Sw43.1.ITS1	5.04108649098
Italy.Soil.Sw.Sw11.3.ITS1	5.88740797504
Italy.Root.Sw.It41.1.ITS1	4.33079934746
Italy.Soil.It.Sw43.1.ITS1	5.57460840224
Italy.Soil.Sw.Sw43.2.ITS1	4.92586239053
Italy.Soil.Sw.It32.2.ITS1	3.96008928222
Italy.Soil.It.It41.2.ITS1	5.07061696514
