Italy.Soil.It.Sw11.1.ITS1o	Italy.Soil.Sw.It41.3.ITS1o	Italy.Soil.It.Sw47.2.ITS1o	Italy.Root.Sw.Sw47.1.ITS1o	Italy.Root.Sw.It32.1.ITS1o	Italy.Root.Sw.It15.1.ITS1o	Italy.Soil.Sw.Sw47.1.ITS1o	Italy.Soil.Sw.It15.3.ITS1o	Italy.Soil.Sw.It41.1.ITS1o	Italy.Soil.Sw.It24.1.ITS1o	Italy.Root.Sw.Sw47.3.ITS1o	Italy.Soil.It.Sw43.1.ITS1o	Italy.Soil.Sw.It41.2.ITS1o	Italy.Root.Sw.It32.3.ITS1o	Italy.Soil.It.It15.2.ITS1o	Italy.Soil.Sw.It32.3.ITS1o	Italy.Soil.Sw.Sw7.2.ITS1o	Italy.Soil.It.It32.3.ITS1o	Italy.Root.Sw.Sw11.3.ITS1o	Italy.Soil.It.Sw47.1.ITS1o	Italy.Root.Sw.It24.1.ITS1o	Italy.Soil.It.It41.2.ITS1o	Italy.Soil.Sw.Sw47.2.ITS1o	Italy.Soil.Sw.It24.3.ITS1o	Italy.Root.Sw.It24.3.ITS1o	Italy.Soil.It.It41.3.ITS1o	Italy.Root.Sw.It32.2.ITS1o	Italy.Root.Sw.Sw11.1.ITS1o	Italy.Soil.Sw.Sw47.3.ITS1o	Italy.Soil.Sw.It15.1.ITS1o	Italy.Soil.It.It32.1.ITS1o	Italy.Soil.Sw.It32.2.ITS1o	Italy.Root.Sw.Sw43.2.ITS1o	Italy.Soil.Sw.It24.2.ITS1o	Italy.Soil.It.It24.1.ITS1o	Italy.Root.Sw.It41.3.ITS1o	Italy.Root.Sw.It15.2.ITS1o	Italy.Soil.It.It24.2.ITS1o	Italy.Soil.It.Sw11.2.ITS1o	Italy.Soil.Sw.It15.2.ITS1o	Italy.Root.Sw.It41.1.ITS1o	Italy.Root.Sw.It15.3.ITS1o	Italy.Root.Sw.It41.2.ITS1o	Italy.Soil.It.It15.3.ITS1o	Italy.Soil.It.Sw7.2.ITS1o	Italy.Soil.It.It15.1.ITS1o	Italy.Soil.Sw.Sw11.2.ITS1o	Italy.Soil.Sw.Sw11.1.ITS1o	Italy.Root.Sw.It24.2.ITS1o	Italy.Soil.It.Sw7.1.ITS1o	Italy.Soil.It.It32.2.ITS1o	Italy.Soil.It.Sw47.3.ITS1o	Italy.Soil.Sw.Sw7.1.ITS1o	Italy.Soil.It.Sw43.2.ITS1o	Italy.Soil.Sw.Sw43.1.ITS1o	Italy.Root.Sw.Sw7.2.ITS1o	Italy.Root.Sw.Sw7.1.ITS1o	Italy.Soil.It.It24.3.ITS1o	Italy.Soil.It.It41.1.ITS1o	Italy.Soil.Sw.It32.1.ITS1o	Italy.Soil.Sw.Sw7.3.ITS1o	Italy.Root.Sw.Sw43.3.ITS1o	Italy.Root.Sw.Sw7.3.ITS1o	Italy.Soil.It.Sw7.3.ITS1o	Italy.Root.Sw.Sw47.2.ITS1o	Italy.Root.Sw.Sw43.1.ITS1o	Italy.Soil.Sw.Sw11.3.ITS1o	Italy.Soil.Sw.Sw43.2.ITS1o	Italy.Soil.It.Sw43.3.ITS1o	Italy.Soil.Sw.Sw43.3.ITS1o	Italy.Soil.It.Sw11.3.ITS1o	Italy.Root.Sw.Sw11.2.ITS1o	Sweden.Root.It.Sw.4.ITS1o	Sweden.Root.It.Sw.3.ITS1o	Sweden.Root.It.Sw.5.ITS1o	Italy.Root.It.Sw11.3.ITS1o	Italy.Root.It.It24.1.ITS1o	Italy.Root.It.It24.3.ITS1o	Italy.Root.It.It32.2.ITS1o	Italy.Root.It.It15.3.ITS1o	Italy.Root.It.Sw7.1.ITS1o	Sweden.Root.It.Sw.2.ITS1o	Italy.Root.It.Sw43.1.ITS1o	Italy.Root.It.Sw47.1.ITS1o	Italy.Root.It.Sw11.2.ITS1o	Italy.Root.It.Sw7.2.ITS1o	Italy.Root.It.It15.1.ITS1o	Sweden.Root.Sw.Sw.6.ITS1o	Italy.Root.It.Sw7.3.ITS1o	Sweden.DP.Soil.It.It.2.ITS1o	Sweden.Soil.It.Sw.2.ITS1o	Italy.Root.It.Sw11.1.ITS1o	Italy.Root.It.Sw47.3.ITS1o	Italy.Root.It.It41.3.ITS1o	Sweden.Root.It.Sw.1.ITS1o	Sweden.Soil.Sw.Sw.3.ITS1o	Italy.Root.It.Sw43.3.ITS1o	Italy.Root.It.It32.1.ITS1o	Italy.Root.It.It41.1.ITS1o	Italy.Root.It.It41.2.ITS1o	Sweden.Soil.It.Sw.1.ITS1o	Italy.Root.It.It15.2.ITS1o	Italy.Soil.Unplanted.Swe2.ITS1o	Italy.Root.It.It24.2.ITS1o	Italy.Soil.Unplanted.Ita.2.ITS1o	Sweden.Root.Sw.Sw.4.ITS1o	Sweden.Root.Sw.Sw.5.ITS1o	Sweden.Root.Sw.Sw.3.ITS1o	Sweden.Root.Sw.Sw.1.ITS1o	Sweden.DP.Soil.It.Sw.3.ITS1o	Sweden.Root.It.Sw.6.ITS1o	Sweden.DP.Soil.Sw.Sw.1.ITS1o	Sweden.Soil.Sw.Sw.2.ITS1o	Sweden.DP.Soil.Sw.Sw.2.ITS1o	Sweden.Soil.It.Sw.4.ITS1o	Sweden.DP.Soil.It.Sw.1.ITS1o	Sweden.DP.Soil.Sw.It.2.ITS1o	Sweden.Soil.It.Sw.6.ITS1o	Italy.Soil.Unplanted.Swe3.ITS1o	Italy.Soil.Unplanted.Ita.1.ITS1o	Sweden.Soil.It.Sw.5.ITS1o	Sweden.Soil.It.Sw.3.ITS1o	Sweden.Soil.Unplanted.It.2.ITS1o	Sweden.Root.Sw.Sw.2.ITS1o	Italy.Root.It.It32.3.ITS1o	Italy.Soil.Unplanted.Swe1.ITS1o	Sweden.DP.Soil.Sw.It.1.ITS1o	Sweden.Soil.Sw.Sw.1.ITS1o	Italy.Root.It.Sw47.2.ITS1o	Sweden.Soil.Unplanted.Sw.3.ITS1o	Sweden.Soil.Sw.Sw.5.ITS1o	Sweden.Soil.Sw.Sw.4.ITS1o	Sweden.DP.Soil.Sw.It.3.ITS1o	Sweden.DP.Soil.Sw.Sw.3.ITS1o	Sweden.Soil.Unplanted.It.1.ITS1o	Sweden.Soil.Sw.Sw.6.ITS1o	Sweden.DP.Soil.It.It.3.ITS1o	Italy.Soil.Unplanted.Ita.3.ITS1o	Sweden.Soil.Unplanted.Sw.2.ITS1o	Sweden.Soil.Unplanted.Sw.1.ITS1o	Italy.Root.It.Sw43.2.ITS1o	Sweden.DP.Soil.It.Sw.2.ITS1o	Sweden.Soil.Unplanted.It.3.ITS1o	Sweden.DP.Soil.It.It.1.ITS1o
Italy.Soil.It.Sw11.1.ITS1o	0.0	0.658055462679	0.681628043344	0.776661583167	0.830203703168	0.629371465404	0.777438571832	0.67920582725	0.673092219015	0.707788995958	0.744050491826	0.593063195442	0.713111120586	0.786614254539	0.626549123155	0.707413219347	0.734740156937	0.627330816843	0.56667147512	0.605721168237	0.717899475969	0.642818424287	0.740429366578	0.71033019903	0.788349660646	0.676048980477	0.72627223428	0.677328087256	0.604802462431	0.731191568033	0.670716617521	0.724242064526	0.767050486091	0.776399611361	0.597281766988	0.680203624286	0.75103383196	0.689304447616	0.54369285517	0.80124228167	0.71680283048	0.714308041871	0.631025182293	0.629099616014	0.606456945796	0.637198282589	0.713387876719	0.662159531857	0.638747011581	0.572181109583	0.612061051545	0.695135386478	0.60142358241	0.638025513484	0.677524487452	0.715106569189	0.680598188795	0.74524429567	0.653050572255	0.655564703411	0.688083580639	0.74037665557	0.82740178608	0.661131424457	0.7346027285	0.625949739503	0.720598098668	0.716955151258	0.655402389775	0.782017444724	0.705705252647	0.757650845712	0.810281344316	0.795792698365	0.672878614301	0.752450688218	0.722340246577	0.672189879342	0.605169461365	0.685453639639	0.608003864016	0.686996232548	0.663437812473	0.702289624007	0.651276871077	0.680873664021	0.672496730851	0.62267081034	0.660857360956	0.771166100365	0.78901622306	0.529301256328	0.601144981836	0.678857137758	0.681501117494	0.613263950054	0.657389229305	0.58816750944	0.712469177077	0.534691055901	0.75474055849	0.646280867958	0.630180866248	0.679005011144	0.625455142849	0.636066338417	0.673765222956	0.732268469789	0.754406311471	0.774975033905	0.704023077809	0.751977330897	0.706929029156	0.747377833074	0.786143740813	0.66219229914	0.729627566291	0.674371010777	0.661721891843	0.77117426428	0.695180253665	0.675180714338	0.710072577485	0.778292660305	0.698567295327	0.659291116956	0.632542319894	0.655022551859	0.693136035462	0.646170873673	0.686505754836	0.654269222635	0.601071132614	0.649143535366	0.692086995193	0.601687303684	0.759035758185	0.699391707085	0.694574839764	0.635054229148	0.762530640726	0.794997416049	0.705939770416	0.651113029046
Italy.Soil.Sw.It41.3.ITS1o	0.658055462679	0.0	0.619369201554	0.683341616615	0.779608768094	0.662934179884	0.596756200072	0.559069120303	0.528992879131	0.522768022013	0.772726129	0.607726049473	0.509135620578	0.662650106811	0.589111459271	0.499625560334	0.606719648867	0.635953205184	0.637723302303	0.563168309765	0.758540628894	0.622288455159	0.57927720178	0.505241867282	0.640785200962	0.601493234219	0.590767831858	0.739746401429	0.677558506177	0.436765559643	0.642651839773	0.68524678727	0.793361144483	0.55957085886	0.679005299737	0.581861803792	0.746371173175	0.624167485173	0.58996135023	0.597680566279	0.579069733302	0.628826175693	0.63660587913	0.612351988746	0.590762382741	0.662036289276	0.534138722189	0.616286289517	0.554581575258	0.639664094505	0.624011220361	0.604417803199	0.518335013134	0.540086923831	0.570302370197	0.791496625723	0.588812199344	0.729779371577	0.587522632818	0.580932924325	0.582016434318	0.723604982864	0.705740320702	0.705145780588	0.62410819475	0.717204171242	0.591281084055	0.590954183509	0.624239709312	0.51119856755	0.640710636914	0.791559575842	0.789922187981	0.73498214548	0.831279866872	0.723397665061	0.711904519183	0.657808250227	0.724027670087	0.794838011554	0.705062869965	0.694176236277	0.637965625456	0.646650076655	0.79646810145	0.706466899498	0.641674969634	0.658928802571	0.776165119192	0.861239599657	0.757031951729	0.678681902721	0.669425652129	0.662648476012	0.697744718	0.663074929874	0.596335577145	0.689826621354	0.740339324096	0.677422582276	0.73836104118	0.69919587391	0.70862936919	0.755119266505	0.769522995906	0.626015939089	0.695034095501	0.717519154828	0.664122692006	0.793811715398	0.831759171846	0.773892626171	0.654157737139	0.751142000709	0.766270927346	0.686499270545	0.681027536282	0.776059284421	0.656380938933	0.751871597157	0.746518606218	0.732339167123	0.771676011014	0.757759014095	0.818588122781	0.679104081284	0.600903634631	0.657152608099	0.75493759291	0.807626642345	0.643456931961	0.607697073116	0.682267856979	0.706066210964	0.828228338211	0.726823616287	0.702827870293	0.690228455946	0.666564864633	0.713420322706	0.719383646868	0.815401049042	0.835972687293	0.694015673579
Italy.Soil.It.Sw47.2.ITS1o	0.681628043344	0.619369201554	0.0	0.769944968547	0.871233732956	0.732191044815	0.749189517106	0.654548268282	0.661050266222	0.734890707393	0.832713275437	0.635062412608	0.642720454195	0.756351234021	0.598412409349	0.706443693956	0.780282437181	0.581504300794	0.739135962905	0.599230042078	0.832288932792	0.584705150526	0.711125298135	0.744306513107	0.775969893076	0.632527188261	0.696464055173	0.810882214501	0.737241899253	0.662026489839	0.551289641616	0.821328704851	0.816138831996	0.70416086102	0.605162644091	0.698496852569	0.824950143196	0.634401481938	0.650523335728	0.79634963206	0.690810711107	0.737025998549	0.679908229677	0.551759271312	0.593966111704	0.53684658022	0.701247317977	0.649443457132	0.668480851676	0.659517260888	0.572125285879	0.635548159176	0.644407613885	0.62516608356	0.75690210454	0.832401081558	0.739600896073	0.585160740437	0.577514598061	0.685497038623	0.670916448672	0.786052633024	0.80253212715	0.650500891164	0.653734456543	0.824345225161	0.679976809372	0.740755124147	0.670698455146	0.711887039433	0.673737750345	0.835396055797	0.772456301908	0.81358192542	0.832727098421	0.725533593983	0.670548543152	0.684181470437	0.7424190768	0.799883204625	0.653935602799	0.728494999644	0.666731119006	0.657274686085	0.754329885282	0.700982724343	0.65820139409	0.831802661162	0.71570633734	0.922722650528	0.810682522048	0.702453155199	0.687555789644	0.728873255422	0.802148195285	0.785032765253	0.636784496649	0.69228004999	0.695626381251	0.660252414192	0.785473666081	0.782944938565	0.741939960522	0.705621641302	0.829640825699	0.742272176376	0.768335618527	0.833493873463	0.80918767106	0.826846633609	0.870544221704	0.863855186577	0.673301076601	0.820116860152	0.777139592675	0.760261194952	0.774589162663	0.736381997387	0.765491631818	0.837523996624	0.781378952723	0.805479403093	0.804682776988	0.852601083777	0.829108799497	0.781139476814	0.743455334499	0.717293870453	0.689741430473	0.801096553347	0.750655113846	0.732192603608	0.785684740574	0.80709039747	0.796688845655	0.789660331768	0.770414189524	0.807559800571	0.722475561718	0.817360583491	0.696866327168	0.905095062496	0.831756187216	0.768947829832
Italy.Root.Sw.Sw47.1.ITS1o	0.776661583167	0.683341616615	0.769944968547	0.0	0.74712866098	0.730510247958	0.73646188364	0.728304454679	0.65432635194	0.717727695191	0.730307035597	0.690691603809	0.733496227072	0.635127132867	0.674322685843	0.6611473574	0.654398585041	0.592618179865	0.686939628961	0.634608522741	0.789953516392	0.695556141405	0.676424433035	0.685877829421	0.615401971155	0.753411129683	0.595355408463	0.705448931194	0.759661236703	0.743779209755	0.724237679875	0.769003386805	0.649646643521	0.685091668792	0.731836995659	0.709127106465	0.693356945525	0.648962903002	0.68793855749	0.739815320017	0.653462980414	0.698081985372	0.668082933553	0.717789059733	0.677834047088	0.754128610127	0.714563307494	0.65786066116	0.640254893596	0.665633016472	0.702678800299	0.651923265995	0.619986457159	0.679172789416	0.701015317306	0.727972357016	0.692958432339	0.750250489714	0.726473913892	0.719679899138	0.682101475021	0.697382040556	0.762207381733	0.68577205463	0.630296393751	0.792320636748	0.716204422676	0.690864452016	0.663758714465	0.731507457441	0.609128666089	0.727482265456	0.851648041472	0.812085347098	0.822060354369	0.625644248992	0.625536764494	0.677120447865	0.768169463252	0.851435316744	0.714288319112	0.736830685165	0.69394948479	0.689575850285	0.784526021984	0.704457094832	0.701225579209	0.764076353213	0.723901053968	0.888446323862	0.835836296106	0.611180898044	0.566192191932	0.66033331116	0.780975728813	0.820376161361	0.686018861879	0.670288488524	0.779752860152	0.703563469938	0.84398819365	0.631338505601	0.768553159361	0.686745248791	0.782662034432	0.736896118004	0.84840205038	0.756620686442	0.781068480095	0.887270659863	0.857985710729	0.790902861919	0.806523812249	0.829509053448	0.813294360251	0.830139225134	0.764132660545	0.806861253563	0.737068939225	0.790218297296	0.774918577592	0.821261754172	0.853936255447	0.889547578046	0.83342525307	0.745361147896	0.714421560996	0.66241481948	0.705870582365	0.836516088665	0.762829406989	0.752052705807	0.799715000758	0.708326307913	0.815766860057	0.809590948414	0.75719199384	0.790242102927	0.730084193304	0.828882452712	0.636283899312	0.804956657848	0.822818768875	0.743578096459
Italy.Root.Sw.It32.1.ITS1o	0.830203703168	0.779608768094	0.871233732956	0.74712866098	0.0	0.753201612005	0.771213762269	0.699059156485	0.715454226997	0.776384635592	0.671570176677	0.695985063646	0.817813370125	0.729207082519	0.775188266928	0.827723664054	0.721944962003	0.721102383171	0.815861172556	0.770060845105	0.848007844917	0.809428118357	0.775886859397	0.812513760993	0.770303432336	0.781826500474	0.784443639989	0.78375337465	0.799059427284	0.784511696786	0.747002283131	0.748619450645	0.874970328125	0.750168283578	0.851835227288	0.775881507526	0.768121466758	0.820528355706	0.7995507881	0.811315587568	0.780521688319	0.77756728033	0.71398587187	0.815904007554	0.809897196947	0.790321675149	0.731862717255	0.776375225939	0.686373252538	0.814661087933	0.779713129589	0.796990494669	0.755196809929	0.777111075668	0.839192661258	0.739872690788	0.710041268815	0.836345985162	0.829173419581	0.735538895918	0.792884351898	0.894879197014	0.918567846023	0.812843424358	0.760796328263	0.839658746202	0.801140208566	0.779571410563	0.820378146295	0.865867910354	0.832321702423	0.875375520378	0.844982397624	0.832434379884	0.882855947425	0.794716612729	0.850015665655	0.720944190879	0.791286555352	0.800213290986	0.797273036027	0.802388324669	0.745303787001	0.747549634728	0.805562855385	0.83717366801	0.786450299388	0.777272402556	0.80572208629	0.764136717058	0.917018404558	0.754358731267	0.766427411645	0.795707498031	0.817713498615	0.851153154536	0.798342046475	0.692145585776	0.904033108642	0.865556965833	0.740081397012	0.742439210052	0.877867348161	0.846878134691	0.902758090071	0.840341713657	0.880335421922	0.77200171347	0.684072306541	0.844490511966	0.870799100083	0.870853287073	0.815198040878	0.872356816696	0.778757799986	0.798558610794	0.745562741344	0.866823344199	0.813145148846	0.820538803154	0.824615515789	0.689116023851	0.888876693813	0.882729154152	0.956507853285	0.852841519015	0.746497943636	0.840508527542	0.825639305087	0.832989824401	0.799801034235	0.751793447301	0.888890041962	0.787245271619	0.815461393284	0.849447736322	0.840108446052	0.810443899738	0.826616120774	0.867307023953	0.791695307438	0.883600233789	0.902785617962	0.787888194392
Italy.Root.Sw.It15.1.ITS1o	0.629371465404	0.662934179884	0.732191044815	0.730510247958	0.753201612005	0.0	0.610391170735	0.707197937904	0.706786790088	0.648169983506	0.725565805726	0.669650810535	0.661878839057	0.673418927739	0.677200172106	0.707656926379	0.5941815109	0.629046005067	0.721190884133	0.668776322619	0.665843258814	0.731495103251	0.646818578349	0.632979560757	0.675553832276	0.656204428193	0.605765898094	0.702868004537	0.570683818813	0.594472141947	0.727912471991	0.66889027677	0.795826406703	0.724924201027	0.744649353056	0.615292346825	0.668028087909	0.672458457936	0.662930549942	0.686590898729	0.610162997588	0.645477585596	0.571072110092	0.691707405239	0.676985226717	0.719117617819	0.708177692979	0.662434362268	0.627387219571	0.626328092298	0.709519837233	0.705718789934	0.635190164888	0.714305284373	0.698333011152	0.526859248616	0.785260505245	0.795661333156	0.684748559287	0.651899511714	0.59037901831	0.760634085046	0.774149303104	0.738261871848	0.757100236214	0.755478457537	0.714018643281	0.703377683141	0.775894058001	0.775963385879	0.758753315407	0.758195128598	0.771373997423	0.64818148413	0.745624077862	0.694590459785	0.719624851608	0.589994408268	0.639203187549	0.800361755715	0.626226295472	0.687903193333	0.677065015708	0.589049929765	0.831802396275	0.70826152746	0.661144908682	0.740481547525	0.622688531146	0.75610554002	0.867190652947	0.607894723165	0.585044451734	0.625229340207	0.692892550383	0.627573186539	0.693501265377	0.680502830728	0.619524895664	0.715707717456	0.724481885212	0.67524072084	0.677769147856	0.775423895365	0.782024089792	0.650464942098	0.777670252366	0.729477908509	0.692406205546	0.836500211308	0.716563975887	0.748579244423	0.670343306365	0.782179558328	0.709750463068	0.65304337079	0.767945979576	0.719934461598	0.687786701662	0.814264349802	0.637438851561	0.781233019535	0.811125687561	0.803816652156	0.78132540302	0.703987960081	0.713178843334	0.734230352662	0.771002028407	0.712935362831	0.763184495292	0.716191429515	0.725576101899	0.693930518375	0.797984342686	0.682889077147	0.792234774573	0.789813783919	0.706318865252	0.750636484392	0.810960063528	0.820557025434	0.764533208534	0.65079988819
Italy.Soil.Sw.Sw47.1.ITS1o	0.777438571832	0.596756200072	0.749189517106	0.73646188364	0.771213762269	0.610391170735	0.0	0.628212805569	0.644936279366	0.658337373662	0.799233798579	0.682704502325	0.665858953643	0.75720358475	0.678266075447	0.572966859962	0.578952923337	0.719056202193	0.705600610513	0.704116573856	0.738983650423	0.678945461296	0.663410756154	0.593039371447	0.685860080193	0.644292875919	0.657147652177	0.74198509057	0.757983111524	0.589430794061	0.651429633587	0.739048752439	0.795529892864	0.64610397061	0.704695167728	0.653623852138	0.821610235965	0.725546048583	0.645801213503	0.672912257232	0.559659679886	0.634761641846	0.610740052821	0.721968457867	0.730195344421	0.691281059003	0.585062619354	0.713088617058	0.689561346757	0.704435874621	0.704795255085	0.76381467608	0.615704420616	0.724673404489	0.662738923903	0.806725564717	0.700672543287	0.787858932514	0.660230633541	0.606364171626	0.623404100384	0.832418567077	0.844131878066	0.670427712891	0.625639382944	0.824529429748	0.644732981933	0.700356837335	0.704850185518	0.689648002698	0.728984748696	0.803112456385	0.889834872629	0.839395188518	0.838170932819	0.681046923821	0.768532390196	0.687806275066	0.774384444432	0.833062918894	0.709027268884	0.748763763167	0.733112597565	0.523338429644	0.819685602339	0.801044485451	0.729240214751	0.801722410353	0.742040968181	0.86135918828	0.836046487058	0.712940862856	0.724993407605	0.706437583354	0.847742081622	0.77842217236	0.663709312459	0.741698790183	0.697231865347	0.73652513935	0.841636270837	0.759748831142	0.81009321941	0.762206488042	0.883738379291	0.729103544806	0.863348621925	0.802561073329	0.696391825387	0.910714906795	0.860134527074	0.827943532315	0.697603872778	0.858539618204	0.862317484427	0.796052399237	0.766940194232	0.780678323992	0.737185949937	0.838297002189	0.783995315446	0.797454821743	0.914723038564	0.812384388572	0.862137486946	0.707666774498	0.766790938083	0.715149010849	0.810708619083	0.789847916164	0.716564114818	0.786670811528	0.735106617594	0.832006057319	0.861697893888	0.807421673755	0.870395245244	0.799103204827	0.670145262498	0.854860962679	0.75257257018	0.857142152663	0.857541686899	0.816096282481
Italy.Soil.Sw.It15.3.ITS1o	0.67920582725	0.559069120303	0.654548268282	0.728304454679	0.699059156485	0.707197937904	0.628212805569	0.0	0.604518876673	0.6466562818	0.695217861575	0.611579346294	0.545693487343	0.775178203197	0.679911730198	0.584414779917	0.594572973538	0.688899049985	0.740415045703	0.669306225826	0.780609172943	0.703594115225	0.588382624471	0.656386636618	0.738625450102	0.535747015643	0.588840358426	0.706820016835	0.650716360447	0.555668139747	0.627113613045	0.701918527206	0.763768496011	0.654454424824	0.716710470406	0.671303354125	0.804485100258	0.695377195809	0.647675782677	0.611733858391	0.689210534902	0.638439349538	0.592300586602	0.627208002029	0.685324079671	0.694055453224	0.539644078303	0.602747078356	0.684478658761	0.670912048992	0.593193824277	0.611935053301	0.611207112956	0.616002390459	0.660857945345	0.781197027755	0.631811951373	0.730799423091	0.597451603297	0.572746495923	0.620430353466	0.751510287276	0.766458025596	0.658749542817	0.62748955378	0.787401565644	0.609590615633	0.609642553774	0.672310530581	0.610602640242	0.675463100133	0.819028919494	0.821522201819	0.769729257692	0.837228690453	0.726618122213	0.714902729103	0.72186054509	0.780206496097	0.552983050984	0.674225535956	0.728566105109	0.565797116916	0.634760751867	0.785223502396	0.71309390668	0.681887576942	0.702973532221	0.757284051251	0.82866451743	0.809476714624	0.675484490258	0.638901934321	0.750801528493	0.797491032042	0.765001445655	0.664782710463	0.607340760123	0.816369805032	0.716084600222	0.754722018949	0.622402459358	0.688085067184	0.733552752828	0.819291361623	0.687195338291	0.788673663672	0.794687075306	0.682940489833	0.829028180572	0.831639459503	0.873189218376	0.75579712938	0.832316099521	0.713565515597	0.752051110107	0.705336931632	0.749300830717	0.693414699061	0.751294606228	0.782205468463	0.735185625399	0.799625854695	0.792281431035	0.825054188733	0.740161668434	0.719260317177	0.718303478699	0.667863923012	0.814341349525	0.696058798353	0.735722477646	0.726475889754	0.777799684723	0.758917189635	0.746806313863	0.809785299943	0.77024762521	0.661672734829	0.781359443009	0.705733868579	0.869341086273	0.816659935401	0.774998753688
Italy.Soil.Sw.It41.1.ITS1o	0.673092219015	0.528992879131	0.661050266222	0.65432635194	0.715454226997	0.706786790088	0.644936279366	0.604518876673	0.0	0.569753292743	0.745232452196	0.57772829529	0.477937779619	0.759041034379	0.546263716928	0.587289295084	0.583832596045	0.592726083964	0.625163962249	0.518188479551	0.787929814768	0.596903169056	0.59233077605	0.530242489743	0.711133801484	0.629046761952	0.666552185024	0.743666840695	0.696924827794	0.509607291114	0.541590408817	0.670657935301	0.754034969158	0.661530582562	0.641313990248	0.628262019326	0.803492589138	0.501983310912	0.560336592156	0.627707614682	0.532419377056	0.632664085528	0.579618643207	0.600272567786	0.535726575059	0.611986419649	0.481692922079	0.546438330479	0.644546336691	0.608306185144	0.534554061234	0.655155360017	0.513254649427	0.58661699438	0.625528374791	0.737404621945	0.590725307644	0.645023649357	0.539676315122	0.547452640292	0.501011126542	0.720642853287	0.795927779651	0.58076539088	0.583086268838	0.766455330567	0.604917421037	0.5226192568	0.523698109945	0.602088691156	0.593937702121	0.798675603267	0.781539668697	0.736692186961	0.718159135237	0.632230933553	0.556018535233	0.677667185173	0.730526417915	0.79498200576	0.631245834214	0.634357396889	0.579147768884	0.628923045201	0.786811726601	0.682251605642	0.653573713304	0.713044397092	0.668858410147	0.769273295603	0.72243738811	0.583323486575	0.622022397237	0.639028706196	0.693419909428	0.719593157273	0.565648670973	0.581356960083	0.783005562616	0.676002007663	0.796225072088	0.733619385859	0.729746078051	0.708960802116	0.794970410075	0.68241131993	0.753641726974	0.747643735401	0.716175159491	0.839928963273	0.752338698719	0.768797617094	0.719032686682	0.811940398516	0.735326898733	0.687006588698	0.674548487736	0.789100157939	0.701064780309	0.75845554615	0.6661997146	0.69759902364	0.817725581167	0.777622993322	0.784518118694	0.686562290227	0.62572211768	0.639840670345	0.717216199085	0.769923798813	0.661104448171	0.600910336174	0.715361231597	0.741329097446	0.745225455657	0.711069478311	0.63585446629	0.7480915839	0.698527487323	0.741488121028	0.588970287259	0.805028364895	0.782781998064	0.731945221572
Italy.Soil.Sw.It24.1.ITS1o	0.707788995958	0.522768022013	0.734890707393	0.717727695191	0.776384635592	0.648169983506	0.658337373662	0.6466562818	0.569753292743	0.0	0.780641667596	0.574634763431	0.662575805377	0.782556693018	0.658576575953	0.572180156123	0.651600418342	0.683132650693	0.682085320196	0.713758148771	0.676008187194	0.721144761476	0.574994457215	0.5659778757	0.644721467105	0.667880807432	0.696001028119	0.707752160123	0.555178445259	0.580634784412	0.684437415059	0.640248997231	0.77467235528	0.643897737222	0.739510535558	0.666022186505	0.743199516567	0.690854287046	0.648192851669	0.60388855308	0.643818862685	0.733407219594	0.639489673059	0.693463398354	0.697908334913	0.744443835843	0.538348274819	0.623578618379	0.613587561783	0.677479103516	0.711759444113	0.700537546449	0.579504574975	0.653751451905	0.687420044015	0.772889260161	0.612935029648	0.756209779734	0.681599251466	0.488492156049	0.661634410077	0.691695512436	0.769037907563	0.737716381773	0.697980873684	0.766586394836	0.607776205736	0.629780185296	0.687726487677	0.607567459295	0.60832819565	0.800283550569	0.818949728103	0.771389627254	0.811199368416	0.6927216617	0.707068974409	0.652898931164	0.72882850132	0.834504901189	0.676490448464	0.717012908744	0.65415158827	0.710001126205	0.859115466046	0.766150682584	0.698304385605	0.696389810268	0.783133321467	0.868426293168	0.774310785259	0.657089859563	0.533107090766	0.724466143311	0.760256193836	0.698957957355	0.694940156573	0.721497764041	0.841157564057	0.729879825174	0.800556819686	0.747544293273	0.773564610411	0.791075679613	0.845703216408	0.655131013676	0.766551569191	0.734042098951	0.700973764301	0.769327092306	0.8394846894	0.801550568247	0.735360333174	0.824874803564	0.803704414095	0.741602980541	0.693702959983	0.839231246463	0.674758884783	0.768177140405	0.788175434755	0.781832089818	0.785381929049	0.793386964093	0.830471335763	0.74276440122	0.684543623812	0.721204443715	0.783660167569	0.814788323294	0.654604469952	0.614629663604	0.741050254678	0.766874766594	0.836107059611	0.721894796102	0.770463660651	0.727444093027	0.700910710038	0.755898329925	0.745551629304	0.823535984354	0.845790481837	0.761329112376
