	observed_species
tub4.RP.3P.V5.Y1	292
spa3.RP.N2.V5.Y1	299
tub4.RP.4S.V5.Y1	220
spa3.Soil.1P.V5.Y1	436
spa3.Soil.3S.V5.Y1	400
spa3.Soil.N2.V5.Y1	421
spa3.Root.N1.V5.Y1	42
tub4.RS.1S.V5.Y1	391
spa3.RP.N1.V5.Y1	318
spa3.Soil.2P.V5.Y1	423
tub4.Soil.N3.V5.Y1	392
spa3.Soil.4P.V5.Y1	423
spa3.Soil.3P.V5.Y1	302
spa3.RP.4P.V5.Y1	260
spa3.RS.3S.V5.Y1	402
spa3.RS.N3.V5.Y1	410
spa3.RP.N3.V5.Y1	328
spa3.Root.1P.V5.Y1	75
tub4.RP.N2.V5.Y1	184
spa3.RP.2P.V5.Y1	262
tub4.RS.3S.V5.Y1	401
spa3.Soil.N3.V5.Y1	396
tub4.RS.4S.V5.Y1	379
tub4.Root.3P.V5.Y1	323
tub4.Root.1S.V5.Y1	86
spa3.Root.4S.V5.Y1	89
tub4.RS.1P.V5.Y1	468
spa3.Soil.2S.V5.Y1	397
spa3.RP.1P.V5.Y1	249
tub4.Soil.2P.V5.Y1	441
tub4.Soil.N2.V5.Y1	305
tub4.RP.2P.V5.Y1	232
tub4.RS.3P.V5.Y1	465
tub4.Soil.3P.V5.Y1	450
tub4.Soil.4P.V5.Y1	456
spa3.RP.1S.V5.Y1	207
spa3.Root.2S.V5.Y1	55
spa3.Root.N3.V5.Y1	83
tub4.Root.N3.V5.Y1	178
tub4.Soil.1P.V5.Y1	474
spa3.Soil.N1.V5.Y1	380
tub4.RS.N3.V5.Y1	251
spa3.RS.1S.V5.Y1	439
spa3.RS.N2.V5.Y1	386
tub4.Root.2S.V5.Y1	271
tub4.Root.4P.V5.Y1	137
tub4.Root.N1.V5.Y1	104
spa3.Root.3S.V5.Y1	87
spa3.Root.4P.V5.Y1	90
tub4.RP.1P.V5.Y1	254
spa3.Root.1S.V5.Y1	38
tub4.Root.1P.V5.Y1	169
spa3.Root.3P.V5.Y1	82
tub4.RP.4P.V5.Y1	249
spa3.Root.N2.V5.Y1	116
spa3.RS.2S.V5.Y1	462
spa3.Soil.4S.V5.Y1	422
spa3.RS.1P.V5.Y1	431
spa3.Soil.1S.V5.Y1	417
tub4.Root.4S.V5.Y1	141
tub4.Soil.N1.V5.Y1	385
tub4.RS.2P.V5.Y1	420
spa3.RS.3P.V5.Y1	400
spa3.RS.4S.V5.Y1	362
tub4.RS.4P.V5.Y1	476
spa3.RS.N1.V5.Y1	439
spa3.RP.3P.V5.Y1	274
tub4.Soil.1S.V5.Y1	414
tub4.Soil.3S.V5.Y1	443
tub4.RP.N3.V5.Y1	205
tub4.Soil.2S.V5.Y1	401
spa3.RP.3S.V5.Y1	110
spa3.RP.2S.V5.Y1	195
spa3.Root.2P.V5.Y1	89
tub4.Root.N2.V5.Y1	116
tub4.Root.2P.V5.Y1	225
spa3.RS.2P.V5.Y1	407
tub4.Soil.4S.V5.Y1	442
tub4.RS.N2.V5.Y1	216
spa3.RP.4S.V5.Y1	212
spa3.RS.4P.V5.Y1	421
tub4.Root.3S.V5.Y1	136
tub4.RS.N1.V5.Y1	346
SD.RS.1P.V5.Y1	399
Pulh.RP.2P.V5.Y1	248
SD.Soil.3P.V5.Y1	404
SD.Root.3P.V5.Y1	98
SD.Soil.2P.V5.Y1	421
SD.RP.N1.V5.Y1	295
Pulh.RS.3S.V5.Y1	394
Pulh.Soil.4P.V5.Y1	470
SD.Root.4P.V5.Y1	187
SD.Root.2S.V5.Y1	49
Pulh.Soil.N2.V5.Y1	458
SD.Soil.N2.V5.Y1	348
Pulh.RS.1P.V5.Y1	480
Pulh.RS.3P.V5.Y1	462
SD.Soil.N3.V5.Y1	289
Pulh.RP.1P.V5.Y1	238
SD.Soil.3S.V5.Y1	379
Pulh.Soil.4S.V5.Y1	468
Pulh.RS.2P.V5.Y1	449
SD.RP.2P.V5.Y1	249
Pulh.RS.4S.V5.Y1	493
Pulh.RS.N1.V5.Y1	417
Pulh.RP.4P.V5.Y1	278
SD.Root.N2.V5.Y1	49
Pulh.RP.N3.V5.Y1	223
SD.Root.N1.V5.Y1	61
Pulh.RS.N2.V5.Y1	468
SD.Soil.4S.V5.Y1	420
SD.RP.4P.V5.Y1	278
SD.Root.N3.V5.Y1	147
Pulh.Soil.1S.V5.Y1	504
Pulh.RS.N3.V5.Y1	382
Pulh.Soil.2S.V5.Y1	422
Pulh.Soil.N1.V5.Y1	437
SD.RS.2P.V5.Y1	400
Pulh.RP.N1.V5.Y1	322
Pulh.Soil.1P.V5.Y1	475
SD.RS.1S.V5.Y1	409
Pulh.Soil.2P.V5.Y1	423
SD.RS.4S.V5.Y1	402
SD.RS.2S.V5.Y1	421
SD.RP.3P.V5.Y1	265
SD.RP.N2.V5.Y1	227
Pulh.RS.4P.V5.Y1	485
SD.RS.4P.V5.Y1	391
Pulh.RS.1S.V5.Y1	446
SD.Soil.1P.V5.Y1	376
SD.Soil.2S.V5.Y1	359
SD.RP.1P.V5.Y1	259
Pulh.RS.2S.V5.Y1	415
SD.Soil.1S.V5.Y1	358
Pulh.Soil.3S.V5.Y1	435
SD.Soil.4P.V5.Y1	417
SD.Soil.N1.V5.Y1	390
SD.RS.N2.V5.Y1	355
Pulh.Soil.3P.V5.Y1	480
SD.Root.3S.V5.Y1	99
SD.RS.N1.V5.Y1	355
SD.RS.3S.V5.Y1	373
Pulh.RP.N2.V5.Y1	259
SD.RS.3P.V5.Y1	417
SD.Root.1P.V5.Y1	81
Pulh.Soil.N3.V5.Y1	449
SD.Root.2P.V5.Y1	163
tub2.Root.1P.V5.Y1	285
tub3.Soil.2P.V5.Y1	460
tub3.RS.N3.V5.Y1	452
tub2.Root.N3.V5.Y1	259
tub2.Soil.N2.V5.Y1	450
tub2.Root.3P.V5.Y1	278
tub3.RP.N1.V5.Y1	316
tub3.Soil.1P.V5.Y1	458
tub3.Soil.3S.V5.Y1	435
tub3.Soil.N2.V5.Y1	444
tub3.RP.N2.V5.Y1	334
tub2.Root.N1.V5.Y1	68
tub3.Root.4S.V5.Y1	46
tub2.RP.N1.V5.Y1	368
tub3.Soil.N1.V5.Y1	451
tub3.RS.3S.V5.Y1	405
tub2.Soil.N1.V5.Y1	411
tub3.RS.2P.V5.Y1	463
tub2.Soil.1S.V5.Y1	426
tub2.Soil.3S.V5.Y1	459
tub2.RP.3P.V5.Y1	297
tub2.RS.3S.V5.Y1	432
tub2.RS.4S.V5.Y1	443
tub2.Root.4S.V5.Y1	322
tub3.Root.N1.V5.Y1	104
tub2.RS.2S.V5.Y1	393
tub2.Soil.3P.V5.Y1	441
tub2.Root.N2.V5.Y1	95
tub2.RP.N3.V5.Y1	328
tub2.RS.1S.V5.Y1	377
tub3.RS.3P.V5.Y1	489
tub3.Soil.4S.V5.Y1	429
tub2.Root.2P.V5.Y1	240
tub3.Root.4P.V5.Y1	40
tub2.RS.1P.V5.Y1	430
tub2.Soil.2S.V5.Y1	406
tub3.RS.N2.V5.Y1	403
tub2.Root.4P.V5.Y1	271
tub3.Soil.3P.V5.Y1	457
tub2.RS.4P.V5.Y1	415
tub2.RP.1P.V5.Y1	325
tub3.RP.4P.V5.Y1	285
tub3.RP.N3.V5.Y1	381
tub2.RP.4P.V5.Y1	305
tub2.RP.2S.V5.Y1	367
tub2.RP.2P.V5.Y1	274
tub3.Soil.N3.V5.Y1	461
tub3.Soil.4P.V5.Y1	457
tub2.RP.3S.V5.Y1	322
tub3.Soil.2S.V5.Y1	424
tub3.RS.1P.V5.Y1	456
tub3.Soil.1S.V5.Y1	403
tub2.Soil.4S.V5.Y1	442
tub2.Soil.N3.V5.Y1	458
tub3.RP.1P.V5.Y1	304
