	shannon
tub4.RP.3P.V5.Y1	6.65729777958
spa3.RP.N2.V5.Y1	6.72881671617
tub4.RP.4S.V5.Y1	5.79493183181
spa3.Soil.1P.V5.Y1	7.96784189632
spa3.Soil.3S.V5.Y1	7.76373805416
spa3.Soil.N2.V5.Y1	7.8937105969
spa3.Root.N1.V5.Y1	0.891635499675
tub4.RS.1S.V5.Y1	7.78910825462
spa3.RP.N1.V5.Y1	7.03678800344
spa3.Soil.2P.V5.Y1	7.85992615432
tub4.Soil.N3.V5.Y1	7.93726492043
spa3.Soil.4P.V5.Y1	7.84242437406
spa3.Soil.3P.V5.Y1	6.85882282998
spa3.RP.4P.V5.Y1	6.77792887615
spa3.RS.3S.V5.Y1	7.83479404508
spa3.RS.N3.V5.Y1	7.85961033722
spa3.RP.N3.V5.Y1	7.0671529318
spa3.Root.1P.V5.Y1	4.39751926462
tub4.RP.N2.V5.Y1	5.70253019042
spa3.RP.2P.V5.Y1	6.64061418745
tub4.RS.3S.V5.Y1	7.94889608863
spa3.Soil.N3.V5.Y1	7.76236491156
tub4.RS.4S.V5.Y1	7.59902414251
tub4.Root.3P.V5.Y1	7.40261569293
tub4.Root.1S.V5.Y1	4.09768011392
spa3.Root.4S.V5.Y1	4.77062823881
tub4.RS.1P.V5.Y1	8.31135224014
spa3.Soil.2S.V5.Y1	7.75652101921
spa3.RP.1P.V5.Y1	6.35308119395
tub4.Soil.2P.V5.Y1	8.11638580575
tub4.Soil.N2.V5.Y1	7.05593640178
tub4.RP.2P.V5.Y1	5.92107025732
tub4.RS.3P.V5.Y1	8.34089748935
tub4.Soil.3P.V5.Y1	8.20110377212
tub4.Soil.4P.V5.Y1	8.14723031424
spa3.RP.1S.V5.Y1	6.19662255673
spa3.Root.2S.V5.Y1	3.68287897825
spa3.Root.N3.V5.Y1	3.90050106824
tub4.Root.N3.V5.Y1	6.18619148543
tub4.Soil.1P.V5.Y1	8.24420044512
spa3.Soil.N1.V5.Y1	7.5744886921
tub4.RS.N3.V5.Y1	6.65823053887
spa3.RS.1S.V5.Y1	8.12376676282
spa3.RS.N2.V5.Y1	7.80829773589
