	observed_species
spa3.RS.2P.ITS1.Y3	159
spa3.RS.3P.ITS1.Y3	175
spa3.Soil.3P.ITS1.Y3	163
swe4.Soil.1P.ITS1.Y3	178
spa1.RP.1P.ITS1.Y3	66
spa1.RS.2P.ITS1.Y3	145
swe1.Soil.1P.ITS1.Y3	147
swe2.Soil.2P.ITS1.Y3	173
swe1.RS.4P.ITS1.Y3	124
Ita.Soil.2P.ITS1.Y3	230
spa3.Soil.1P.ITS1.Y3	243
swe1.Soil.3P.ITS1.Y3	154
spa1.Root.1P.ITS1.Y3	22
Ita.Root.1P.ITS1.Y3	76
swe1.Soil.2P.ITS1.Y3	166
spa1.Soil.2P.ITS1.Y3	99
spa1.RS.4P.ITS1.Y3	213
spa1.Soil.3P.ITS1.Y3	162
swe1.Soil.4P.ITS1.Y3	150
swe1.RS.3P.ITS1.Y3	182
Ita.Soil.4P.ITS1.Y3	183
swe3.Soil.1P.ITS1.Y3	193
Ita.Root.4P.ITS1.Y3	62
Ita.RP.3P.ITS1.Y3	60
spa1.RP.3P.ITS1.Y3	79
spa3.RP.2P.ITS1.Y3	24
Ita.RS.3P.ITS1.Y3	227
Ita.RP.1P.ITS1.Y3	84
swe1.RS.1P.ITS1.Y3	197
spa1.RS.1P.ITS1.Y3	199
spa2.RS.1P.ITS1.Y3	188
Ita.RS.2P.ITS1.Y3	162
spa3.RS.1P.ITS1.Y3	224
swe2.Soil.3P.ITS1.Y3	144
swe1.Root.3P.ITS1.Y3	38
spa1.Soil.4P.ITS1.Y3	115
spa1.RS.3P.ITS1.Y3	186
swe3.Soil.2P.ITS1.Y3	174
swe3.Soil.3P.ITS1.Y3	176
spa1.Root.4P.ITS1.Y3	99
spa2.Soil.4P.ITS1.Y3	170
swe4.Soil.3P.ITS1.Y3	68
swe1.RP.1P.ITS1.Y3	105
spa2.Soil.2P.ITS1.Y3	186
spa1.RP.4P.ITS1.Y3	98
spa3.RP.1P.ITS1.Y3	48
Ita.Soil.1P.ITS1.Y3	269
spa2.Soil.3P.ITS1.Y3	183
spa2.RS.2P.ITS1.Y3	189
spa1.RP.2P.ITS1.Y3	102
spa2.Soil.1P.ITS1.Y3	188
spa2.RP.1P.ITS1.Y3	42
Ita.RS.1P.ITS1.Y3	271
spa3.Soil.2P.ITS1.Y3	128
swe1.Root.1P.ITS1.Y3	41
swe2.Soil.1P.ITS1.Y3	149
spa2.RP.2P.ITS1.Y3	38
Ita.Root.2P.ITS1.Y3	60
Ita.RP.2P.ITS1.Y3	60
swe4.RS.2P.ITS1.Y3	85
spa2.RS.4P.ITS1.Y3	184
Ita.Root.3P.ITS1.Y3	82
spa1.Soil.1P.ITS1.Y3	149
swe2.RS.1P.ITS1.Y3	167
spa2.RS.3P.ITS1.Y3	206
swe1.RP.4P.ITS1.Y3	134
swe1.Root.4P.ITS1.Y3	25
Ita.Soil.3P.ITS1.Y3	153
Ita.RS.4P.ITS1.Y3	132
swe3.RS.2P.ITS1.Y3	128
swe3.RS.3P.ITS1.Y3	122
spa3.RP.3P.ITS1.Y3	54
swe4.RS.1P.ITS1.Y3	103
spa2.RP.3P.ITS1.Y3	47
Ita.RP.4P.ITS1.Y3	27
swe4.RS.3P.ITS1.Y3	93
swe4.Soil.2P.ITS1.Y3	71
spa2.RP.4P.ITS1.Y3	51
spa3.RS.3S.ITS1.Y1	90
tub4.RS.1P.ITS1.Y1	292
tub4.RS.N2.ITS1.Y1	94
spa3.Soil.3S.ITS1.Y1	143
tub4.RS.N1.ITS1.Y1	136
tub4.RS.1S.ITS1.Y1	196
spa3.Soil.N3.ITS1.Y1	180
tub4.RS.3S.ITS1.Y1	171
tub4.RS.2S.ITS1.Y1	215
spa3.Soil.2P.ITS1.Y1	230
spa3.RS.3P.ITS1.Y1	250
tub4.RP.N2.ITS1.Y1	84
spa3.Soil.4S.ITS1.Y1	184
spa3.RS.N3.ITS1.Y1	206
tub4.Soil.3S.ITS1.Y1	207
spa3.RS.N2.ITS1.Y1	304
spa3.RS.1P.ITS1.Y1	206
spa3.Soil.N2.ITS1.Y1	319
tub4.Root.1S.ITS1.Y1	17
spa3.Soil.N1.ITS1.Y1	228
spa3.Root.1P.ITS1.Y1	45
tub4.Soil.N3.ITS1.Y1	135
tub4.Soil.N1.ITS1.Y1	119
tub4.Root.N1.ITS1.Y1	26
tub4.RS.3P.ITS1.Y1	259
spa3.RS.N1.ITS1.Y1	359
tub4.RS.N3.ITS1.Y1	141
spa3.Soil.1S.ITS1.Y1	208
tub4.Root.4S.ITS1.Y1	28
spa3.RS.2P.ITS1.Y1	313
tub4.Root.N2.ITS1.Y1	34
spa3.Soil.4P.ITS1.Y1	202
tub4.RP.3P.ITS1.Y1	196
spa3.Soil.2S.ITS1.Y1	244
spa3.RP.N1.ITS1.Y1	194
spa3.Root.4P.ITS1.Y1	41
tub4.Soil.1S.ITS1.Y1	205
spa3.RP.N2.ITS1.Y1	189
spa3.RS.4P.ITS1.Y1	243
spa3.Soil.3P.ITS1.Y1	206
spa3.Root.N2.ITS1.Y1	63
tub4.Soil.4S.ITS1.Y1	181
spa3.RS.1S.ITS1.Y1	201
tub4.RS.4S.ITS1.Y1	172
spa3.Root.1S.ITS1.Y1	123
tub4.Soil.4P.ITS1.Y1	199
spa3.Root.2S.ITS1.Y1	48
tub4.RP.N3.ITS1.Y1	94
tub4.RS.2P.ITS1.Y1	248
tub4.RS.4P.ITS1.Y1	265
spa3.Root.4S.ITS1.Y1	38
spa3.RS.4S.ITS1.Y1	187
spa3.Root.3P.ITS1.Y1	36
tub4.RP.4S.ITS1.Y1	54
spa3.RP.4P.ITS1.Y1	77
spa3.Root.2P.ITS1.Y1	56
spa3.RP.2P.ITS1.Y1	168
tub4.RP.2P.ITS1.Y1	155
tub4.Root.N3.ITS1.Y1	33
tub4.Soil.N2.ITS1.Y1	85
tub4.Soil.2S.ITS1.Y1	242
spa3.Soil.1P.ITS1.Y1	197
spa3.Root.N3.ITS1.Y1	50
spa3.RS.2S.ITS1.Y1	253
tub4.Soil.2P.ITS1.Y1	204
tub4.RP.1P.ITS1.Y1	158
tub4.Root.3P.ITS1.Y1	89
spa3.RP.N3.ITS1.Y1	112
tub4.Soil.1P.ITS1.Y1	240
spa3.RP.1P.ITS1.Y1	51
tub4.Root.1P.ITS1.Y1	37
spa3.Root.N1.ITS1.Y1	38
tub4.Root.4P.ITS1.Y1	14
tub4.Soil.3P.ITS1.Y1	166
tub4.RP.4P.ITS1.Y1	129
spa3.Root.3S.ITS1.Y1	26
tub4.Root.2P.ITS1.Y1	50
spa3.RP.1S.ITS1.Y1	25
spa3.RP.3P.ITS1.Y1	111
tub4.Root.2S.ITS1.Y1	41
tub3.RS.2P.ITS1.Y3	294
tou1.Soil.3P.ITS1.Y3	137
tub4.Soil.2P.ITS1.Y3	131
tub3.Soil.3P.ITS1.Y3	301
tub3.Soil.4P.ITS1.Y3	271
tou1.Soil.2P.ITS1.Y3	171
swe2.Root.3P.ITS1.Y3	28
pulh.RS.4P.ITS1.Y3	238
tub3.RS.1P.ITS1.Y3	263
pulh.Soil.1P.ITS1.Y3	88
tub4.Soil.1P.ITS1.Y3	233
tub3.RS.3P.ITS1.Y3	296
pulh.Soil.4P.ITS1.Y3	184
tub3.Root.4P.ITS1.Y3	104
tub4.Soil.4P.ITS1.Y3	239
pulh.RS.2P.ITS1.Y3	161
tub2.Soil.3P.ITS1.Y3	231
pulh.RS.1P.ITS1.Y3	233
tou1.RP.3P.ITS1.Y3	91
tub3.Soil.1P.ITS1.Y3	267
tub3.Soil.2P.ITS1.Y3	274
tub2.Soil.1P.ITS1.Y3	279
tub4.Soil.3P.ITS1.Y3	140
tub4.RS.2P.ITS1.Y3	180
tub3.Root.3P.ITS1.Y3	84
tub2.Root.3P.ITS1.Y3	152
tou1.RP.1P.ITS1.Y3	132
swe2.Root.2P.ITS1.Y3	36
tub4.RS.3P.ITS1.Y3	220
tub2.Soil.4P.ITS1.Y3	271
tub4.RS.1P.ITS1.Y3	270
tou1.RP.4P.ITS1.Y3	137
tub3.RS.4P.ITS1.Y3	233
tub2.Root.4P.ITS1.Y3	144
tub4.RP.1P.ITS1.Y3	141
tub4.RS.4P.ITS1.Y3	189
tub2.RS.2P.ITS1.Y3	198
tou1.Soil.1P.ITS1.Y3	149
tub2.RS.3P.ITS1.Y3	165
pulh.RS.3P.ITS1.Y3	219
swe2.Root.1P.ITS1.Y3	31
tou1.RS.4P.ITS1.Y3	160
tub2.RS.1P.ITS1.Y3	196
pulh.Soil.3P.ITS1.Y3	196
tou1.Soil.4P.ITS1.Y3	156
swe4.Root.3P.ITS1.Y3	37
tou1.RS.3P.ITS1.Y3	174
tou1.RS.1P.ITS1.Y3	147
swe4.RP.1P.ITS1.Y3	76
tub2.Soil.2P.ITS1.Y3	271
tub2.RS.4P.ITS1.Y3	204
pulh.Soil.2P.ITS1.Y3	172
tou1.Root.2P.ITS1.Y3	34
pulh.RP.2P.ITS1.Y3	101
tou1.RS.2P.ITS1.Y3	150
pulh.RP.3P.ITS1.Y3	156
pulh.RP.1P.ITS1.Y3	110
swe4.Root.1P.ITS1.Y3	45
swe4.RP.2P.ITS1.Y3	88
tub2.Root.2P.ITS1.Y3	154
swe3.Root.3P.ITS1.Y3	43
tub3.RP.2P.ITS1.Y3	134
pulh.RP.4P.ITS1.Y3	172
tub4.Root.2P.ITS1.Y3	109
tub4.Root.4P.ITS1.Y3	155
tub4.RP.3P.ITS1.Y3	126
pulh.Root.4P.ITS1.Y3	36
tub2.Root.1P.ITS1.Y3	95
tub3.Root.1P.ITS1.Y3	114
tub4.Root.1P.ITS1.Y3	170
tou1.Root.1P.ITS1.Y3	145
pulh.Root.2P.ITS1.Y3	42
tub3.Root.2P.ITS1.Y3	174
SD.Root.1P.ITS1.Y1	78
SD.Soil.N3.ITS1.Y1	133
SD.Soil.2P.ITS1.Y1	203
SD.RS.3P.ITS1.Y1	216
SD.Root.2P.ITS1.Y1	64
SD.Root.4P.ITS1.Y1	82
SD.Soil.N1.ITS1.Y1	144
Pulh.Soil.N3.ITS1.Y1	268
Pulh.Root.4P.ITS1.Y1	31
SD.RP.4P.ITS1.Y1	145
Pulh.RS.N1.ITS1.Y1	187
SD.RS.4P.ITS1.Y1	217
SD.Root.1S.ITS1.Y1	54
Pulh.Soil.N2.ITS1.Y1	218
SD.RP.N2.ITS1.Y1	160
SD.Root.3S.ITS1.Y1	50
Pulh.Root.2S.ITS1.Y1	74
SD.Soil.3S.ITS1.Y1	183
SD.RP.2P.ITS1.Y1	156
SD.RS.2P.ITS1.Y1	229
Pulh.RS.N2.ITS1.Y1	256
Pulh.RS.1S.ITS1.Y1	261
Pulh.RS.4P.ITS1.Y1	249
Pulh.Soil.2P.ITS1.Y1	245
SD.Soil.4S.ITS1.Y1	165
SD.RS.3S.ITS1.Y1	201
SD.Root.N3.ITS1.Y1	42
SD.RP.3P.ITS1.Y1	141
SD.Soil.4P.ITS1.Y1	144
Pulh.RP.2P.ITS1.Y1	140
SD.RS.2S.ITS1.Y1	211
SD.RP.1P.ITS1.Y1	141
SD.RS.1P.ITS1.Y1	203
SD.Root.N1.ITS1.Y1	77
SD.RS.N1.ITS1.Y1	213
SD.Soil.N2.ITS1.Y1	165
Pulh.Root.1P.ITS1.Y1	35
Pulh.Soil.1S.ITS1.Y1	259
Pulh.Soil.3P.ITS1.Y1	253
Pulh.RS.1P.ITS1.Y1	263
SD.Soil.2S.ITS1.Y1	176
SD.Soil.1S.ITS1.Y1	109
Pulh.Soil.N1.ITS1.Y1	169
Pulh.RS.2P.ITS1.Y1	316
Pulh.RS.3S.ITS1.Y1	208
Pulh.RS.3P.ITS1.Y1	250
Pulh.RP.N1.ITS1.Y1	120
SD.RS.1S.ITS1.Y1	155
SD.RS.N2.ITS1.Y1	210
SD.Root.4S.ITS1.Y1	58
Pulh.Root.3P.ITS1.Y1	43
SD.Soil.1P.ITS1.Y1	120
SD.RP.N1.ITS1.Y1	108
SD.Soil.3P.ITS1.Y1	167
Pulh.RP.4S.ITS1.Y1	95
Pulh.RS.N3.ITS1.Y1	255
Pulh.RS.2S.ITS1.Y1	172
SD.RS.4S.ITS1.Y1	187
Pulh.RS.4S.ITS1.Y1	177
Pulh.Soil.2S.ITS1.Y1	224
Pulh.RP.1P.ITS1.Y1	118
Pulh.Soil.4P.ITS1.Y1	271
Pulh.Root.2P.ITS1.Y1	64
SD.Root.2S.ITS1.Y1	105
Pulh.Soil.4S.ITS1.Y1	210
Pulh.RP.N3.ITS1.Y1	105
SD.Root.3P.ITS1.Y1	44
SD.Root.N2.ITS1.Y1	40
Pulh.Soil.3S.ITS1.Y1	228
Pulh.Soil.1P.ITS1.Y1	213
Pulh.Root.N1.ITS1.Y1	75
Pulh.RP.3S.ITS1.Y1	109
Pulh.RP.4P.ITS1.Y1	128
SD.RP.2S.ITS1.Y1	65
Pulh.Root.4S.ITS1.Y1	70
Pulh.Root.3S.ITS1.Y1	86
Pulh.RP.3P.ITS1.Y1	92
SD.RP.3S.ITS1.Y1	56
Pulh.RP.2S.ITS1.Y1	100
