	shannon
spa3.RS.2P.ITS1.Y3	5.0933852337
spa3.RS.3P.ITS1.Y3	5.36714292311
spa3.Soil.3P.ITS1.Y3	5.40580901845
swe4.Soil.1P.ITS1.Y3	5.71787212059
spa1.RP.1P.ITS1.Y3	3.72894543901
spa1.RS.2P.ITS1.Y3	4.2130526212
swe1.Soil.1P.ITS1.Y3	5.22269997459
swe2.Soil.2P.ITS1.Y3	5.62606999149
swe1.RS.4P.ITS1.Y3	3.93890810633
Ita.Soil.2P.ITS1.Y3	6.14629775499
spa3.Soil.1P.ITS1.Y3	6.33051163676
swe1.Soil.3P.ITS1.Y3	5.02971540845
spa1.Root.1P.ITS1.Y3	2.42872316055
Ita.Root.1P.ITS1.Y3	5.17710463284
swe1.Soil.2P.ITS1.Y3	4.90990599108
spa1.Soil.2P.ITS1.Y3	3.76098875719
spa1.RS.4P.ITS1.Y3	5.94456143718
spa1.Soil.3P.ITS1.Y3	5.20282387187
swe1.Soil.4P.ITS1.Y3	5.11544390489
swe1.RS.3P.ITS1.Y3	5.77560449291
Ita.Soil.4P.ITS1.Y3	6.00705626707
swe3.Soil.1P.ITS1.Y3	6.30286034814
Ita.Root.4P.ITS1.Y3	3.58572102214
Ita.RP.3P.ITS1.Y3	2.99785913202
spa1.RP.3P.ITS1.Y3	3.12844219485
spa3.RP.2P.ITS1.Y3	1.22366573398
Ita.RS.3P.ITS1.Y3	6.45773962157
Ita.RP.1P.ITS1.Y3	3.16649377943
swe1.RS.1P.ITS1.Y3	6.48121230465
spa1.RS.1P.ITS1.Y3	6.30634052837
spa2.RS.1P.ITS1.Y3	6.18365831483
Ita.RS.2P.ITS1.Y3	3.80193711374
spa3.RS.1P.ITS1.Y3	5.96293396821
swe2.Soil.3P.ITS1.Y3	5.05464725628
swe1.Root.3P.ITS1.Y3	3.0788303305
spa1.Soil.4P.ITS1.Y3	3.30588469052
spa1.RS.3P.ITS1.Y3	6.02488366466
swe3.Soil.2P.ITS1.Y3	5.7482283024
swe3.Soil.3P.ITS1.Y3	6.07538347888
spa1.Root.4P.ITS1.Y3	4.80776863703
spa2.Soil.4P.ITS1.Y3	5.2366061887
swe4.Soil.3P.ITS1.Y3	2.84378089559
swe1.RP.1P.ITS1.Y3	3.36409272681
spa2.Soil.2P.ITS1.Y3	6.07896566455
spa1.RP.4P.ITS1.Y3	4.4441926111
spa3.RP.1P.ITS1.Y3	2.5630296483
Ita.Soil.1P.ITS1.Y3	6.92985340854
spa2.Soil.3P.ITS1.Y3	6.18846638808
spa2.RS.2P.ITS1.Y3	5.86698746765
spa1.RP.2P.ITS1.Y3	3.95227012575
spa2.Soil.1P.ITS1.Y3	6.27042532517
spa2.RP.1P.ITS1.Y3	0.972226414845
Ita.RS.1P.ITS1.Y3	6.8783445553
spa3.Soil.2P.ITS1.Y3	5.19485400499
swe1.Root.1P.ITS1.Y3	3.58010450495
