	observed_species
tub4.RS.1S.ITS1o.Y1	36
spa3.RP.N1.ITS1o.Y1	30
tub4.RS.2P.ITS1o.Y1	40
tub4.RP.1P.ITS1o.Y1	30
tub4.Soil.3P.ITS1o.Y1	46
tub4.RS.N3.ITS1o.Y1	20
spa3.Root.2P.ITS1o.Y1	15
spa3.Soil.4P.ITS1o.Y1	52
tub4.RS.4P.ITS1o.Y1	49
spa3.Root.N3.ITS1o.Y1	20
tub4.Soil.N2.ITS1o.Y1	14
tub4.RP.N2.ITS1o.Y1	8
tub4.Soil.1S.ITS1o.Y1	40
spa3.Soil.1P.ITS1o.Y1	43
tub4.RS.3P.ITS1o.Y1	43
tub4.RP.2P.ITS1o.Y1	32
tub4.Soil.2P.ITS1o.Y1	44
spa3.RS.2P.ITS1o.Y1	44
tub4.RS.3S.ITS1o.Y1	28
tub4.Soil.4P.ITS1o.Y1	34
spa3.RS.3P.ITS1o.Y1	37
tub4.Soil.4S.ITS1o.Y1	34
spa3.RS.N1.ITS1o.Y1	70
tub4.Soil.1P.ITS1o.Y1	36
spa3.Soil.4S.ITS1o.Y1	44
spa3.Soil.1S.ITS1o.Y1	56
tub4.Soil.2S.ITS1o.Y1	32
spa3.RS.N2.ITS1o.Y1	57
spa3.RS.1P.ITS1o.Y1	48
spa3.Root.3P.ITS1o.Y1	7
spa3.Root.N1.ITS1o.Y1	12
tub4.Soil.N3.ITS1o.Y1	15
tub4.RP.3P.ITS1o.Y1	31
spa3.Soil.2S.ITS1o.Y1	60
spa3.RS.N3.ITS1o.Y1	70
tub4.RS.2S.ITS1o.Y1	31
spa3.Root.1S.ITS1o.Y1	50
tub4.RS.N2.ITS1o.Y1	12
tub4.Soil.N1.ITS1o.Y1	33
spa3.Soil.N2.ITS1o.Y1	51
tub4.Soil.3S.ITS1o.Y1	31
spa3.Soil.2P.ITS1o.Y1	41
spa3.RP.2P.ITS1o.Y1	20
spa3.RP.N2.ITS1o.Y1	36
tub4.RS.4S.ITS1o.Y1	30
tub4.Root.2P.ITS1o.Y1	11
tub4.RS.N1.ITS1o.Y1	27
spa3.RS.4S.ITS1o.Y1	22
spa3.Soil.N1.ITS1o.Y1	65
spa3.Soil.3P.ITS1o.Y1	32
tub4.RS.1P.ITS1o.Y1	45
spa3.RS.1S.ITS1o.Y1	61
spa3.Soil.N3.ITS1o.Y1	64
spa3.RS.4P.ITS1o.Y1	42
tub4.Root.1S.ITS1o.Y1	25
spa3.Soil.3S.ITS1o.Y1	43
spa3.Root.2S.ITS1o.Y1	9
spa3.RS.2S.ITS1o.Y1	57
spa3.RP.3P.ITS1o.Y1	13
spa3.Root.1P.ITS1o.Y1	8
spa3.Root.N2.ITS1o.Y1	15
spa3.Root.4P.ITS1o.Y1	15
tub4.Root.4P.ITS1o.Y1	7
spa3.Root.3S.ITS1o.Y1	13
spa3.RP.N3.ITS1o.Y1	16
tub4.Root.4S.ITS1o.Y1	7
