	shannon
tub4.RS.1S.ITS1o.Y1	3.00614032751
spa3.RP.N1.ITS1o.Y1	2.85959344998
tub4.RS.2P.ITS1o.Y1	3.32682670683
tub4.RP.1P.ITS1o.Y1	3.37060011948
tub4.Soil.3P.ITS1o.Y1	3.48327543593
tub4.RS.N3.ITS1o.Y1	1.95980338851
spa3.Root.2P.ITS1o.Y1	1.02194948119
spa3.Soil.4P.ITS1o.Y1	4.03965934997
tub4.RS.4P.ITS1o.Y1	3.87331303772
spa3.Root.N3.ITS1o.Y1	2.81004064458
tub4.Soil.N2.ITS1o.Y1	0.759565141993
tub4.RP.N2.ITS1o.Y1	1.50548287997
tub4.Soil.1S.ITS1o.Y1	3.24720517903
spa3.Soil.1P.ITS1o.Y1	3.29738115313
tub4.RS.3P.ITS1o.Y1	3.40100668918
tub4.RP.2P.ITS1o.Y1	3.3078439308
tub4.Soil.2P.ITS1o.Y1	3.78166815112
spa3.RS.2P.ITS1o.Y1	3.4498221069
tub4.RS.3S.ITS1o.Y1	3.25220440057
tub4.Soil.4P.ITS1o.Y1	3.47954084
spa3.RS.3P.ITS1o.Y1	3.59367953397
tub4.Soil.4S.ITS1o.Y1	2.51029502367
spa3.RS.N1.ITS1o.Y1	4.00733787234
tub4.Soil.1P.ITS1o.Y1	3.02149537532
spa3.Soil.4S.ITS1o.Y1	3.88135873999
spa3.Soil.1S.ITS1o.Y1	3.75689011228
tub4.Soil.2S.ITS1o.Y1	3.21148257547
spa3.RS.N2.ITS1o.Y1	4.16909055899
spa3.RS.1P.ITS1o.Y1	4.34537269377
spa3.Root.3P.ITS1o.Y1	1.68401498167
spa3.Root.N1.ITS1o.Y1	1.41009469231
tub4.Soil.N3.ITS1o.Y1	1.99671524526
tub4.RP.3P.ITS1o.Y1	3.3882748544
spa3.Soil.2S.ITS1o.Y1	4.24666714065
spa3.RS.N3.ITS1o.Y1	4.4354583485
tub4.RS.2S.ITS1o.Y1	2.02794126492
spa3.Root.1S.ITS1o.Y1	3.43141221463
tub4.RS.N2.ITS1o.Y1	1.58797011635
tub4.Soil.N1.ITS1o.Y1	2.86602867111
spa3.Soil.N2.ITS1o.Y1	3.51206758631
tub4.Soil.3S.ITS1o.Y1	2.68073841874
spa3.Soil.2P.ITS1o.Y1	3.41804664122
spa3.RP.2P.ITS1o.Y1	2.876948763
spa3.RP.N2.ITS1o.Y1	3.32780870741
tub4.RS.4S.ITS1o.Y1	3.35512741046
tub4.Root.2P.ITS1o.Y1	1.89502447862
tub4.RS.N1.ITS1o.Y1	2.69595255995
spa3.RS.4S.ITS1o.Y1	2.36671940978
spa3.Soil.N1.ITS1o.Y1	4.07971209573
spa3.Soil.3P.ITS1o.Y1	2.86354165924
tub4.RS.1P.ITS1o.Y1	2.85653790394
spa3.RS.1S.ITS1o.Y1	3.91640015365
spa3.Soil.N3.ITS1o.Y1	4.41847732928
spa3.RS.4P.ITS1o.Y1	3.59123774536
tub4.Root.1S.ITS1o.Y1	2.56641262816
spa3.Soil.3S.ITS1o.Y1	3.86603857128
spa3.Root.2S.ITS1o.Y1	1.32394050195
spa3.RS.2S.ITS1o.Y1	3.97958771311
spa3.RP.3P.ITS1o.Y1	2.10666381673
spa3.Root.1P.ITS1o.Y1	1.45622451009
spa3.Root.N2.ITS1o.Y1	2.01126456752
spa3.Root.4P.ITS1o.Y1	1.3006247735
tub4.Root.4P.ITS1o.Y1	1.50081546111
spa3.Root.3S.ITS1o.Y1	2.21732121973
spa3.RP.N3.ITS1o.Y1	3.12742033743
tub4.Root.4S.ITS1o.Y1	1.04455747009
tub4.RP.4P.ITS1o.Y1	3.15273007897
spa3.RS.3S.ITS1o.Y1	2.22101721267
spa3.RP.1P.ITS1o.Y1	2.59564953572
SD.RS.2P.ITS1o.Y1	3.85816050539
SD.Root.2P.ITS1o.Y1	2.61252252503
SD.RS.3P.ITS1o.Y1	3.38059503754
Pulh.Soil.1P.ITS1o.Y1	2.35688435119
SD.RP.1P.ITS1o.Y1	3.05100747716
SD.RS.4S.ITS1o.Y1	1.85668629083
SD.Soil.1P.ITS1o.Y1	3.16361092237
SD.RP.N2.ITS1o.Y1	1.53397576724
SD.Soil.N1.ITS1o.Y1	2.78269632328
SD.RS.1P.ITS1o.Y1	3.21213242589
Pulh.RP.1P.ITS1o.Y1	2.82664517145
SD.RP.2P.ITS1o.Y1	3.81384138488
SD.Root.4P.ITS1o.Y1	2.58589004676
SD.Root.1P.ITS1o.Y1	1.61645703793
Pulh.Soil.3S.ITS1o.Y1	2.83534903713
Pulh.RP.2P.ITS1o.Y1	3.69916343882
SD.Soil.N2.ITS1o.Y1	2.64469475589
Pulh.RP.N1.ITS1o.Y1	2.17089388524
SD.Soil.2S.ITS1o.Y1	3.26933024716
SD.RP.3P.ITS1o.Y1	3.1122184727
Pulh.RS.1S.ITS1o.Y1	2.77320631766
SD.RS.N1.ITS1o.Y1	4.0983318175
SD.RP.4P.ITS1o.Y1	3.52494297485
Pulh.Soil.3P.ITS1o.Y1	2.55415240791
SD.Root.3P.ITS1o.Y1	2.55458235505
Pulh.RS.2S.ITS1o.Y1	2.34945448732
SD.RP.N1.ITS1o.Y1	2.58202317505
Pulh.Soil.4P.ITS1o.Y1	2.98677363807
SD.RS.4P.ITS1o.Y1	3.22217234174
Pulh.Soil.N2.ITS1o.Y1	3.17309122878
SD.Soil.3S.ITS1o.Y1	3.94451144223
SD.RS.2S.ITS1o.Y1	2.91061787471
SD.Soil.N3.ITS1o.Y1	1.51945697725
SD.RS.3S.ITS1o.Y1	3.26602088833
Pulh.Soil.2S.ITS1o.Y1	2.55742758716
Pulh.Soil.N3.ITS1o.Y1	2.85712034666
Pulh.Root.N3.ITS1o.Y1	2.51881955491
Pulh.Soil.2P.ITS1o.Y1	2.89080947259
SD.Soil.3P.ITS1o.Y1	3.37513286091
SD.Soil.2P.ITS1o.Y1	4.2827813214
SD.Soil.4P.ITS1o.Y1	2.75696031992
Pulh.RS.N1.ITS1o.Y1	2.85696763441
Pulh.RS.N2.ITS1o.Y1	3.2875699296
Pulh.Soil.N1.ITS1o.Y1	3.13636364812
SD.Soil.4S.ITS1o.Y1	2.27960988613
