ItaRP	ItaRS	ItaRoot	ItaSoil	PulhRP	PulhRS	PulhSoil	SDRP	SDRS	SDRoot	SDSoil	geyenRP	geyenRS	geyenRoot	geyenSoil	hamRP	hamRS	hamRoot	hamSoil	spa1RP	spa1RS	spa1Root	spa1Soil	spa2RP	spa2RS	spa2Root	spa2Soil	spa3RP	spa3RS	spa3Root	spa3Soil	swe1RP	swe1RS	swe1Root	swe1Soil	swe2RP	swe2RS	swe2Root	swe2Soil	swe3RP	swe3RS	swe3Root	swe3Soil	swe4RP	swe4RS	swe4Root	swe4Soil	tou1RP	tou1RS	tou1Root	tou1Soil	tou2RS	tou2Root	tou2Soil	tub2RP	tub2RS	tub2Root	tub2Soil	tub3RP	tub3RS	tub3Root	tub3Soil	tub4RP	tub4RS	tub4Root	tub4Soil
ItaRP	0.2344271792015	0.496979034373938	0.629191195933833	0.545256374533312	0.457721167564917	0.546550972377187	0.629281152827437	0.518341972408312	0.601176461009969	0.756806539528125	0.633091638054812	0.650540306534625	0.650325365366	0.88356961056425	0.695236210234917	0.64359587975125	0.571608756094679	0.84301903690325	0.71292321255285	0.466607144948625	0.595377221530683	0.768791063755389	0.64899019078975	0.52668348133725	0.544984908317134	0.794869622387136	0.59305814101805	0.557774924905167	0.587005939826339	0.777656545752646	0.648872956508417	0.65839637502775	0.685796882721883	0.772895146180875	0.759956768097367	0.6790874268849	0.775046800023625	0.80213337475775	0.841252560193825	0.6528028136599	0.72614078815625	0.808588235954572	0.758475187931051	0.658687084262222	0.712270258049054	0.790632349846339	0.743623724220133	0.531279568023357	0.605325339311953	0.705007825661789	0.646245894095188	0.625357813003187	0.8200711393352	0.667544638474042	0.514542932578083	0.601804331044578	0.587811409665143	0.628737714005281	0.557146965841687	0.583580061342071	0.748863273180167	0.639663310677203	0.521473033249292	0.558111240308563	0.690236448721234	0.633180811561484
ItaRS	0.496979034373938	0.177430085007875	0.662720317535417	0.2786141662005	0.663574195069083	0.494769864095375	0.523298114678875	0.613787732494312	0.513456742600313	0.821896645180667	0.527448935199875	0.804448091352	0.675469705778063	0.93753224903725	0.607177617276667	0.7622904499255	0.543885092427429	0.884481143778292	0.60852123632235	0.603982632940583	0.519764152232317	0.809581316806972	0.486400648144	0.690301073460875	0.480644991296538	0.830676227726954	0.457849171857033	0.709861386167433	0.494107752449661	0.833147627912125	0.503116750639367	0.726075743008104	0.623197998995967	0.810014221308	0.668278568725883	0.7113548624959	0.732126900969	0.842154236724786	0.7771032299798	0.7100042679736	0.642362837784783	0.817976545278839	0.66358184232665	0.68470509856675	0.633740787564714	0.813364730333375	0.645902694596833	0.668430625350036	0.530040932378437	0.771470387810942	0.523235327999797	0.545334118561583	0.8512574147573	0.556675266455313	0.620256847397033	0.512939551912578	0.682191135315446	0.496739308240641	0.683243801333229	0.493839235222982	0.805717505007208	0.512987117709484	0.647451132012521	0.508471270899479	0.753024218246406	0.529413888928547
ItaRoot	0.629191195933833	0.662720317535417	0.460214513246444	0.682323395393333	0.665604147358333	0.684861781027083	0.71772690201325	0.66237521689975	0.699912700283333	0.718401757777111	0.711275984907875	0.733770778683667	0.733967934014167	0.849172382103667	0.760515113783222	0.732335183839	0.695572660175381	0.809460729364667	0.770007344881267	0.658233043632278	0.695978187321311	0.745113363193519	0.722778427544062	0.677726413009033	0.651815747061359	0.759029929881818	0.686353364319644	0.6962641519936	0.676387226941214	0.743491186074195	0.709020427010489	0.726758841874583	0.742665645114755	0.739703858436571	0.792732114012444	0.731853897124667	0.804068746605667	0.771495216899714	0.854644000128333	0.726539215563067	0.7714652784304	0.773737781545571	0.794935642746333	0.731059928733667	0.761907435205595	0.757990094241	0.782938015099	0.683880441354095	0.693836929413208	0.722265525154795	0.715688806721417	0.710526744306305	0.7848015460962	0.732938723040417	0.666146212419733	0.692066037687938	0.673854319379167	0.704211934891562	0.702075338361861	0.704014153818666	0.746236599005944	0.735982986819604	0.671322709978722	0.663496888546472	0.712208725888771	0.698053248884604
ItaSoil	0.545256374533312	0.2786141662005	0.682323395393333	0.178234596453	0.69213357533625	0.496389196640406	0.499338190886125	0.661129589655125	0.546642769107312	0.836653710286208	0.542860775712	0.831836233364188	0.692691237783375	0.94493500713075	0.59818468148975	0.783343803667	0.578901849081322	0.884857417349459	0.58795908113475	0.651568877472417	0.56878016257155	0.820156483670472	0.490430014471844	0.728492844269025	0.520350228236423	0.842413961082704	0.46575243726295	0.7396336502812	0.513975730412893	0.844543978791771	0.4809996809102	0.751475953534625	0.632653702489267	0.819218367466982	0.65301176558375	0.72966683503555	0.742485612410875	0.850708382382214	0.76815722564475	0.73431035038515	0.648085493614017	0.822751841926571	0.653384483599934	0.711379373692667	0.652883130566	0.825052311713536	0.6492252057512	0.696187339146964	0.541527499266125	0.787174949079904	0.510911023064781	0.531437447985938	0.8580137299041	0.522869721602937	0.652794238442483	0.535369960546187	0.705429624700464	0.486820575838687	0.717755422096458	0.49483875512875	0.821203102404646	0.478499380471016	0.680712725446896	0.532074411215417	0.768454857697062	0.513468571665719
PulhRP	0.457721167564917	0.663574195069083	0.665604147358333	0.69213357533625	0.175764542574222	0.537409789100583	0.64702134996125	0.537240469037417	0.670026054460417	0.741793373356056	0.697196844664125	0.560256954078417	0.630978459643417	0.86356028232	0.729681233452556	0.627864268474333	0.643921723318476	0.828198344925278	0.790884455683667	0.528494951273333	0.683249627750311	0.758066526802111	0.749253172362729	0.515226741904133	0.621439131161461	0.78139394990203	0.6994689971984	0.531965896458422	0.65326301902381	0.75477169443475	0.721169500798422	0.671105815581278	0.744503679176178	0.777758486341452	0.814672260658244	0.6919224603464	0.819737547913208	0.790453833937	0.885364966992067	0.679440052740267	0.794138598550156	0.822814456803667	0.8240042969204	0.712119205048074	0.788079454851405	0.800632586617452	0.8212101125864	0.51295601238519	0.654435639335667	0.698438959941385	0.709978702770833	0.6598644408675	0.804175001139933	0.719230379273583	0.530880258786733	0.676988857515833	0.601243897889548	0.711580532442521	0.545114003896194	0.632868355191095	0.754152842615806	0.691811932348188	0.510387910417556	0.608152785406889	0.690475795940167	0.694888186860646
PulhRS	0.546550972377187	0.494769864095375	0.684861781027083	0.496389196640406	0.537409789100583	0.306153991263719	0.397552421887703	0.609627754062812	0.551439205616063	0.804897168438958	0.561725008155109	0.712654020911031	0.578331934004688	0.903929365393875	0.562624098765125	0.711206975782625	0.579934601415375	0.856353110301583	0.651403725275475	0.627695764339417	0.620575998637117	0.78157502116957	0.615337690176398	0.660123807836612	0.544946661653462	0.804021997404012	0.561860307367875	0.668453262142033	0.552612935178009	0.806951218362177	0.577833283583142	0.717231211230063	0.662620279553742	0.801343535252223	0.706789399644308	0.697443626282275	0.772884575052344	0.818767162370643	0.813234362871212	0.724405262483625	0.713193814446325	0.831574239405491	0.724408682954292	0.723854534953292	0.72157556730583	0.818195025384125	0.732023817495683	0.628775950509848	0.551130657346359	0.741753402742596	0.570020130465742	0.517309752614011	0.822950054775175	0.552099619278656	0.609947272553267	0.580018554266094	0.675856878671214	0.58162831945518	0.642952838828896	0.457963379751598	0.792315596924104	0.488298011297289	0.611080933954354	0.512484333960521	0.734789197541609	0.54541005183568
PulhSoil	0.629281152827437	0.523298114678875	0.71772690201325	0.499338190886125	0.64702134996125	0.397552421887703	0.327687046769437	0.672701061057219	0.575714540595328	0.834123109643312	0.568385819374172	0.785566386342562	0.636348393376125	0.920882194543875	0.559989750623667	0.765715465265	0.632445394219893	0.868977573260583	0.6345269246469	0.7051428017455	0.662547923991217	0.809195777255222	0.615930943080273	0.735285130288325	0.599144538201087	0.826058286521148	0.580799324130241	0.737150287908267	0.581983733658715	0.83546396471475	0.568194667364875	0.765310122015271	0.683840063766084	0.824048132831384	0.700203553021167	0.737278716915125	0.785634464069438	0.835997740607286	0.802276195176987	0.7710097747962	0.725736168785866	0.845296765342437	0.722223922863275	0.762729305523584	0.739026702820669	0.83810141628542	0.735284989097292	0.703496951310866	0.592805945280914	0.779694307643038	0.581652831233453	0.541719532077781	0.842010966735375	0.548563267930083	0.67560680897745	0.617602596768632	0.727001995521795	0.592896509497797	0.714795478494198	0.496482646500116	0.823478031556459	0.483575953765633	0.684272983589771	0.560947537835625	0.77250342185914	0.546285163254265
SDRP	0.518341972408312	0.613787732494313	0.66237521689975	0.661129589655125	0.537240469037417	0.609627754062812	0.672701061057219	0.266394096011125	0.514932918977781	0.696545386688917	0.561229628883031	0.629577406397375	0.638634466948625	0.86572268611725	0.704813112463333	0.65437003710975	0.638913625510607	0.823318157477125	0.75541019894365	0.519892681889292	0.633941274014267	0.744904424039472	0.70508723018175	0.581443678752975	0.611047295254423	0.76940392293925	0.677069864584483	0.617397672850283	0.649448185736428	0.742754446382667	0.71640018995215	0.616989526081854	0.665324246793666	0.735211782108714	0.761240218835116	0.6471833327994	0.752731813096656	0.772037427886607	0.839498644835575	0.6225630125997	0.72418508973855	0.77506954936825	0.770077111175967	0.630612640418	0.703451254562178	0.758098031530393	0.744995523643784	0.613772595376018	0.673926536684547	0.710673243051673	0.710540814980656	0.690047222054125	0.79565659593595	0.726592555775396	0.576086081890283	0.673706682919188	0.63206243002425	0.708648345324016	0.570707923198229	0.620944187972714	0.742465217193271	0.68160386896039	0.568547016794917	0.607715312094542	0.685981693582656	0.682510187221
SDRS	0.601176461009969	0.513456742600313	0.699912700283333	0.546642769107312	0.670026054460417	0.551439205616063	0.575714540595328	0.514932918977781	0.344401000549375	0.789449372661146	0.404639745633719	0.766464443142719	0.64581861282975	0.917168773827	0.625562124232583	0.751816403673875	0.624718784401625	0.869935060320771	0.68716034132265	0.638943982540854	0.597838311358392	0.801039328587306	0.61625504102343	0.702604008340088	0.590764462103577	0.819762660114546	0.6090279298387	0.717785451421775	0.592925222164482	0.817430663759104	0.64072952842155	0.704200999481271	0.615078773091009	0.795723628347206	0.671395577467642	0.698617906137025	0.722174435460688	0.824102193583268	0.77699223894525	0.70605219983665	0.6676086181785	0.813091032464634	0.693737170988058	0.683882331668431	0.653915520336009	0.806543421146429	0.671429534477667	0.697874557664848	0.635564468635453	0.771516390295884	0.651369205786008	0.646478279019948	0.844517495993025	0.670359475080334	0.640371986892792	0.631610407087593	0.699559996892973	0.651122946126992	0.681248757295729	0.554778731263812	0.803084447909417	0.587969022865367	0.662334116863635	0.575458427498417	0.753090578955227	0.612161597117664
SDRoot	0.756806539528125	0.821896645180667	0.718401757777111	0.836653710286208	0.741793373356056	0.804897168438958	0.834123109643313	0.696545386688917	0.789449372661146	0.528701629656	0.796375217218313	0.698616096321958	0.77351264582925	0.765541936433667	0.826574390658333	0.750384876635667	0.813509091997738	0.782648887036666	0.8672037129599	0.733734348326	0.798988402131189	0.721124503143833	0.844213873117052	0.749839262843817	0.796613418647141	0.747499877598955	0.829192688834722	0.744908843207523	0.819829919032702	0.6889116627575	0.846361197259878	0.73619001724107	0.8007400997295	0.703197945803619	0.8530652139747	0.753629225413667	0.84494357317775	0.743856454905952	0.897929271113	0.745040406141733	0.839685953150778	0.742580440293131	0.867119901271733	0.770297312228759	0.83377164231981	0.728241100085571	0.855993081907811	0.765593651422321	0.820359297427531	0.731126466764269	0.843799104899385	0.823967124685736	0.7424815218544	0.847718925783125	0.759289200466667	0.836633195293792	0.747105602768571	0.852531727785063	0.752601641001167	0.806435118171524	0.736672959701555	0.838552559789833	0.745055701402583	0.796515428664167	0.719899492695594	0.825050878324875
