swe1RS	swe1Soil	swe1Root	swe1RP	swe2RS	swe2Soil	swe2Root	swe2RP	swe3RS	swe3Soil	swe3Root	swe3RP	spa1RS	spa1Soil	spa1Root	spa1RP	spa2RS	spa2Soil	spa2Root	spa2RP	spa3RS	spa3Soil	spa3Root	spa3RP	ItaRS	ItaSoil	ItaRoot	ItaRP	tou1RS	tou1Soil	tou1Root	tou1RP	tou2RS	tou2Soil	tou2Root	tou2RP	SDRS	SDSoil	SDRoot	SDRP	PulhRS	PulhSoil	PulhRoot	PulhRP	hamRS	hamSoil	hamRoot	hamRP	tub2RS	tub2Soil	tub2Root	tub2RP	tub3RS	tub3Soil	tub3Root	tub3RP	tub4RS	tub4Soil	tub4Root	tub4RP	geyenRS	geyenSoil	geyenRoot	geyenRP	swe4RS	swe4Soil	swe4Root	swe4RP
k__Bacteria_p__Acidobacteria_c__Acidobacteriia	0.053001034945493	0.0814120152137583	0.00188535494486365	0.0167895008762135	0.0728710002204064	0.0984322900963157	0.00254100375521876	0.019621978458031	0.0565661252656426	0.0861027122987715	0.00443993428598615	0.0154398290875583	0.00142898027891614	0.00561275630499395	0.000940184653194505	0.000405890850547527	0.00517646007861896	0.00690205423855299	0.000996212813161736	0.000393742705643024	0.000392851266558422	0.000809364181413568	0.00155638068226343	0.00172834215501429	0.00167629906857054	0.00315604717314513	0.000912385026014404	0.000379938873850827	0.000139339626517811	0.00011510711226315	0.000851431344464111	0.000301724631402187	0.000211046778231839	0.000305767396286429	0.000355555555555556	NA	0.00660475771241992	0.0222584677910688	0.000270107588426692	0.000712206343338857	0.00468628490399247	0.00704177685544265	0.000161421466764843	0.000566433155911955	0.000422689663214536	0.00345069118165821	7.02049985959e-05	0.00184842883548983	3.93068933111167e-05	7.48509588353548e-05	0.00147266009680416	0.00247185953793907	0.00679450053838691	0.0087404391683345	0.00107918758739768	0.00152686086604566	0.00274127621767619	0.0162267493658936	0.00217355566770154	0.00170912852340523	0.00268326904026165	0.00747525238839071	0	0	0.036459946962197	0.0459676613322457	0.00294941044052973	0.0241368678721603
k__Bacteria_p__Acidobacteria_c__Solibacteres	0.0323719845733635	0.0464210582381314	0.00341140622493986	0.00686625567718594	0.0644402353712212	0.0748507793652338	0.000875625692468394	0.0128577927303447	0.0429644359432221	0.0526054356026516	0.00311496368061819	0.00659612431358498	0.0154246985631782	0.0191717506172694	0.00103808428092655	0.00247690525519388	0.0112509364348882	0.016139481252994	0.000784403907319165	0.000583074103214952	0.0117233815683622	0.00960796239360476	0.00164524182349126	0.00168847063201945	0.0226106420187215	0.0164029878652303	0.00206292489419622	0.00416346761708422	0.00917523640885686	0.0111561073599165	0.00102019246410084	0.00152550214509543	0.00820545733220412	0.00885055140459648	0.000920228228437822	NA	0.0200894794823451	0.0236530585254757	0.000595679025768222	0.00182095633714366	0.0130267137830884	0.016474190889345	0.000171322998884984	0.00116141555162494	0.0114500049074056	0.015142941285218	9.1776798825257e-05	0.00184842883548983	0.00954270582770353	0.0083873284532285	0.00166623839080832	0.00369953527239692	0.017783864967869	0.0226044581037688	0.00158298357699681	0.00202330077172937	0.0106087492538168	0.0160436465780913	0.0016614767988643	0.00297059072101767	0.00447414161313603	0.019625526417431	0	0.000116600372225733	0.0394204915344035	0.0395070930051172	0.00291601110103969	0.0115543648855588
k__Bacteria_p__Actinobacteria_c__Acidimicrobiia	0.0168233773549789	0.0187699299283081	0.00287692954276519	0.0113606579194504	0.0119693427809591	0.014668575190993	0.000880902123905255	0.00942721873560874	0.0209184459516386	0.020516292858019	0.00897278061597718	0.0102278495712136	0.0116329368216187	0.0116177672910587	0.00293065337337392	0.0152427321179274	0.0120945436866804	0.0127471955817393	0.000940829291129914	0.0089216708941542	0.0127122694071592	0.0125449230914117	0.00147968395782744	0.00662778946088861	0.0172854165575583	0.0208939450208937	0.00519906668435095	0.0164953024648748	0.0176932674739839	0.020250811244597	0.00300160592342255	0.00836666446488357	0.0210328235082401	0.0217655009613579	0.00151175303354117	NA	0.0141136735016646	0.0118135950885907	0.00159585219468361	0.0115683755534138	0.0128516549503739	0.0144014227726559	0.0012818847040948	0.00833176086778371	0.0318120157193535	0.0328594250933302	0.000297567255700083	0.0101663585951941	0.0302752966779687	0.0345398309462997	0.0120132514548554	0.0132739508661712	0.0196510759393735	0.0258272923121044	0.00390734892868393	0.00978904620986527	0.0152808591887894	0.0157227320990709	0.00959184756390565	0.00964348905249378	0.0100550351889067	0.0122089533728412	0	0.00236178325922697	0.0147846158170271	0.0177130711749034	0.00248356218059753	0.013161310169518
k__Bacteria_p__Actinobacteria_c__Actinobacteria	0.135102980550305	0.106791853662144	0.156605738704765	0.122189385027637	0.204301535644738	0.144447804271814	0.0347239827085881	0.121740521641948	0.191053104613207	0.148890578832756	0.100623660612791	0.126201773604316	0.153157359412771	0.136979715235787	0.0362828237405677	0.122227646882934	0.136017790967182	0.128180457734716	0.0211979159701136	0.0998787117289418	0.115298664696455	0.118550497893896	0.0765264402170101	0.0513648413435282	0.140791328733775	0.132301744263258	0.206890306085605	0.0796093220332166	0.121082573665189	0.122025876357316	0.065580303783621	0.0378367159283213	0.114553752618411	0.115403408295298	0.0317289800609368	NA	0.105402663324789	0.101368133624012	0.210369468402982	0.0885443146182485	0.112454295636299	0.0882820960589501	0.0416972845916894	0.0819197762497198	0.169916808987623	0.112795472922466	0.0424012785801494	0.148798521256932	0.140742235136604	0.139130537249791	0.193226704354234	0.0790499293141182	0.131254123063537	0.111938695309164	0.0531815690477649	0.0640590854797671	0.124821005043106	0.126141518856198	0.0899463516839301	0.0756384256117198	0.0808722018136333	0.111580000594804	0.0400682011935209	0.0493877064758968	0.219662966264756	0.209222644207554	0.129265009635169	0.18649628218339
k__Bacteria_p__Actinobacteria_c__Thermoleophilia	0.0602863170747859	0.0803988174547941	0.0119555908914538	0.0156999504444324	0.0611203028117162	0.0881807958867062	0.00760570737712834	0.0272075827069518	0.107871653385093	0.118279040778323	0.0572264284449568	0.0262928560343843	0.0269233930075979	0.0468629900461862	0.00797651044506913	0.0131277661542891	0.0202100525857447	0.0290344492690418	0.00400050394838706	0.00704111782317731	0.0293775583944515	0.0480233984571991	0.00643396418853541	0.0063908845249058	0.0580352163142683	0.0836427491797827	0.00902567170076067	0.00866435752365865	0.0542722773310965	0.0754180441720118	0.00750855301713721	0.0101705545549027	0.0704792165923017	0.0732057618102924	0.00754550056874731	NA	0.0233239497884105	0.0250858973319627	0.00235104988605592	0.00695419086033417	0.028978266104337	0.0387866653212367	0.00299692870762128	0.0076516908498254	0.0289065049242645	0.0469528935766158	0.00148663540472691	0.00831792975970425	0.0554060756646717	0.0828053794140455	0.0128861685108299	0.0124200215683541	0.0705062843687412	0.09320070117623	0.00725268208338191	0.0111169682622203	0.031850126793904	0.0525912159223361	0.0185344929456102	0.0100420771637788	0.0111889044787411	0.0347107795417457	0	0.00177346867327203	0.0827491731406354	0.108016635054686	0.0117502910229109	0.0417437205483981
k__Bacteria_p__Bacteroidetes_c__Cytophagia	0.00915113015278859	0.00635632350203244	0.0016196692740403	0.00410220668269208	0.00283617382492402	0.000559100950574702	0.00103547231337737	0.00318656468223767	0.00155828322752796	0.00197539985133799	0.000197476516482516	0.00136430509090808	0.0123705615409955	0.00917678882770547	0.00203527706448799	0.00433769234694868	0.0220356846440947	0.0163894346629024	0.000891378985798962	0.00678664836772258	0.0230317115623199	0.012613175361439	0.00192058548371495	0.00751263183772085	0.00943128511875933	0.0159744920942019	0.00498402286193028	0.0128887010216431	0.0263692810088864	0.0249226970056241	0.00494519206470022	0.0106123963873402	0.0238406825661408	0.0192043152090205	0.00133654618473896	NA	0.0185556385996422	0.0160424185674163	0.00391217014047035	0.00595667543485488	0.0278141081166816	0.0217251534476627	0.00325374631296894	0.0104948659719156	0.0137801515806192	0.0032652875372034	0.000368368728370714	0.00924214417744917	0.0360909705128454	0.0280837684026947	0.0207997743491032	0.0120174336616869	0.0196152919557684	0.0162166103364389	0.00184636765640528	0.00503421791090875	0.0198040873426308	0.0182522522129331	0.00457061732038134	0.00749106343050579	0.0485836508953421	0.0367124816153341	0.000852514919011083	0.00943955770158951	0.00170278681076705	0.000524127332569785	0.00107161185884992	0.00178452307727701
k__Bacteria_p__Bacteroidetes_c__Flavobacteriia	0.0224983300777745	0.0297446264935192	0.00874806853307185	0.0260501263685776	0.00668353813977104	0.00191524556139554	0.00548005615300474	0.0271907892826476	0.00512375428571288	0.00563463862138921	0.0103528339528453	0.01083864968161	0.0676012399712139	0.0161047355962684	0.0875616977026493	0.115902882633005	0.0562930229942233	0.0122212351196202	0.0374272922471377	0.116078638813078	0.0434657870428058	0.0214308113298361	0.0590607981444755	0.164639572386	0.0137553658437511	0.00966353567662504	0.0193292386339533	0.0948339972874115	0.0650716341874763	0.0433908466300683	0.0604749945504455	0.157128876493064	0.0578415042390041	0.0343547898698447	0.00774163435915246	NA	0.0269941834761775	0.0329717650238985	0.0308385128647886	0.0503329234015329	0.0912873300904444	0.055850504619695	0.019010598016244	0.171471786121432	0.0367462192577495	0.00656415478006448	0.0128751170053164	0.0979667282809612	0.0451929932478479	0.0168707887932684	0.072273738040337	0.191818688887813	0.0375927926415987	0.0204447250341057	0.0378721387514732	0.14919002206716	0.0512109852470083	0.0348311484004963	0.0684999974398549	0.176923746322351	0.218276517731453	0.0343831274771267	0.0349531116794544	0.360254209343409	0.00537595087149977	0.00180069301740098	0.00596996333527817	0.00513177508516101
k__Bacteria_p__Bacteroidetes_c__Saprospirae	0.0112377419507125	0.00910501045159949	0.00286361293510641	0.0113622640055778	0.0111769785311355	0.00689708978630499	0.000701577347644092	0.00810787901211025	0.0188440730368223	0.0180188158485518	0.00172621126765611	0.00483071028242671	0.0324377811306333	0.0194624743733369	0.00265602074769797	0.0131902129219138	0.0363790821048308	0.0293512352588741	0.00189675238327242	0.0163302044366001	0.0217666993466342	0.00991498060124906	0.00119021615285964	0.0118801487883897	0.0226146089702177	0.0169068610886625	0.010027281153296	0.025974223208439	0.0167548406349236	0.0115873035681456	0.00460505211829821	0.00672187598841208	0.015802222555724	0.0131370551767335	0.00218416746207551	NA	0.0159422423066005	0.00972525572390127	0.00176610144046247	0.00308340437758969	0.0317010663371333	0.0212081398875117	0.00094718362723318	0.00889365844466789	0.0272779373158108	0.0105828956756213	0.000410000947881896	0.00462107208872458	0.0327871156790838	0.0202863647753395	0.0104104243377589	0.0123942649236292	0.0250361300768295	0.0169500361317478	0.00482354018524684	0.00869520813711026	0.0273387370276552	0.0213476195387857	0.00628355544215472	0.00878038102904535	0.0108957281706282	0.0225036657866952	0.000852514919011083	0.00289243936740511	0.0212451673685225	0.0142240699645654	0.00353604136469754	0.01505194477964
k__Bacteria_p__Bacteroidetes_c__Sphingobacteriia	0.0138568122214204	0.0146643000143193	0.00335328397971487	0.0176292921602397	0.0159659990756118	0.0108277108192258	0.00213767295791158	0.0154787124832905	0.0152068925284129	0.0148098567889459	0.00137758998535546	0.0170804128875941	0.0289950848814376	0.0337183554040751	0.00403459961091697	0.0101667346466075	0.0178974922341877	0.0225224386017637	0.00326156462850388	0.00791049602027899	0.0189160908342045	0.0165821466831965	0.00111414134051281	0.00690451742170048	0.0176154514999001	0.0165867833279125	0.00605738747365381	0.0141170612311682	0.022554104575156	0.0190105334712533	0.00261853168545024	0.00675779231363545	0.0204213638940084	0.0135493981583521	0.000846574339210354	NA	0.029027489125426	0.0212681961054671	0.00211411175552568	0.00647421277537576	0.0327048710952092	0.0279237769988944	0.00080861559147148	0.0144841201379839	0.0182789007997438	0.018420525974042	0.000547889984627017	0.0055452865064695	0.02735470895675	0.0220401196559049	0.0159771666102945	0.0112800271480413	0.028928514044856	0.0277171618514648	0.002480121104197	0.0159666717653592	0.047232740182956	0.026626828916091	0.00498523121804449	0.0117571164876581	0.021594171937742	0.0248837884760929	0	0.00207108397725983	0.0182782354319788	0.0169619714364149	0.00256384925085514	0.014374502002196
k__Bacteria_p__Chloroflexi_c__Chloroflexi	0.00546801317543319	0.00562844055590196	0.00578143114013116	0.00992771612121037	0.00918206199038824	0.00299163290059958	0.00873739116525308	0.0165997305147299	0.00614876155087529	0.00616983279926252	0.00213905551484082	0.00565441657612175	0.03458808647251	0.0389865983797536	0.00349650802580652	0.0477210712387862	0.0370738198207907	0.0307008616426898	0.00630518807432417	0.0317578555075227	0.0929219951827157	0.0695103806998535	0.00413772293071248	0.0731182513052915	0.0656760901202836	0.049810342092805	0.0435474774483531	0.101677470699824	0.0213662796905997	0.0201265621164813	0.0185158034014157	0.058490938805942	0.0207826653002927	0.017334985041972	0.00466980063109581	NA	0.131657431802286	0.0983350081813294	0.01869618239721	0.130074334501301	0.0607641218209274	0.0821854664609992	0.00127508345757035	0.0639897135521852	0.0384461569411227	0.0302082370365222	0.00714413494195809	0.033271719038817	0.0530384501838237	0.0533942763987671	0.0417477704267794	0.061247022884983	0.0302235280442613	0.0350870939269326	0.0308653614904358	0.0465717528577691	0.0656603134942146	0.0597361992868269	0.0254407182635866	0.0643531397634808	0.00678178891960312	0.0229503182393835	0	0.00279851863324626	0.0106445271412079	0.00756476751299257	0.0047063436873002	0.0174581781731106
