ItaRP	ItaRS	ItaRoot	ItaSoil	PulhRP	PulhRS	PulhRoot	PulhSoil	SDRP	SDRS	SDRoot	SDSoil	geyenRP	geyenRS	geyenSoil	hamRP	hamRS	hamRoot	hamSoil	spa1RP	spa1RS	spa1Root	spa1Soil	spa2RP	spa2RS	spa2Root	spa2Soil	spa3RP	spa3RS	spa3Root	spa3Soil	swe1RP	swe1RS	swe1Root	swe1Soil	swe2RP	swe2RS	swe2Root	swe2Soil	swe3RP	swe3RS	swe3Root	swe3Soil	swe4RP	swe4RS	swe4Root	swe4Soil	tou1RP	tou1RS	tou1Root	tou1Soil	tou2RP	tou2RS	tou2Root	tou2Soil	tub2RP	tub2RS	tub2Root	tub2Soil	tub3RP	tub3RS	tub3Root	tub3Soil	tub4RP	tub4RS	tub4Root	tub4Soil	
ItaRP	0.556625722817625	0.763009008138875	0.769011723516187	0.805507453118062	0.851870066259429	0.888329112819531	0.874683358400094	0.893521343233094	0.880625412155042	0.89300829158375	0.86001014220775	0.89660443315375	0.835798052569	0.87472136617925	0.879724370567469	0.87186906247845	0.894620890052	0.8621796063396	0.898215421998	0.854284255257875	0.890813214721781	0.876976100461481	0.899078363020567	0.86155345689575	0.892417044425469	0.880025007501	0.893724224676032	0.866990582439055	0.893756339261017	0.89117085440125	0.90265955876465	0.899137396567613	0.923004409752786	0.890182687231197	0.931540553175317	0.8909278613807	0.92274077828325	0.879906105843	0.923709716980271	0.900898146543925	0.918341968982822	0.879675974422789	0.92448359970395	0.904048177689178	0.928845205737617	0.886265694540464	0.923988591051717	0.859086567163134	0.888498022354969	0.859030572548182	0.892460143720406	0.85816264221395	0.885934192194813	0.880557136239125	0.891729493234417	0.8471548426955	0.890490521501094	0.862443295270923	0.905545409543156	0.86972146050425	0.891481181873078	0.87292391563275	0.904245243184406	0.888135535380028	0.904047132434816	0.885673635163432	0.90714655260136
ItaRS	0.763009008138875	0.37498344216925	0.830109031674812	0.54638645409475	0.858032079365786	0.792367821566594	0.914501386298281	0.797028217752813	0.84667789111075	0.779702523901156	0.864366241391312	0.788898703353062	0.83910295900125	0.820334165712312	0.811323969430938	0.8494261712469	0.797474672842062	0.8047760230674	0.813405212118157	0.850110296016875	0.808837584072531	0.889834674421173	0.828033515587033	0.865907702777053	0.766930330875406	0.8239141876064	0.765548169995906	0.896010459545	0.777085190542784	0.895430466641594	0.795174169810217	0.887390199700227	0.848602723358054	0.868152968293036	0.86442460575545	0.88143102116075	0.86527155926195	0.850661938587159	0.860713266807958	0.8828390579489	0.854723224110321	0.851991753571885	0.86282275379995	0.885970047705464	0.876500688957383	0.857459746662875	0.86638565111985	0.847184253461731	0.791991368102344	0.825655503476068	0.788643802775672	0.8047863921564	0.783482803775292	0.83834975007	0.793390471156521	0.865987206635175	0.787917910564031	0.823815635973615	0.796501329311516	0.8637264758235	0.795095151974047	0.88734692262225	0.818474215053156	0.855208060913778	0.790262016850533	0.887723013060478	0.799924375082953
ItaRoot	0.769011723516188	0.830109031674813	0.482145905027875	0.84496982585625	0.853943633438214	0.890470928696094	0.83522283917175	0.888729694019969	0.886056769776042	0.904511380511781	0.8126678266255	0.899599984330188	0.83251290800425	0.848566766510594	0.846518640899281	0.86496483174855	0.890607452477312	0.83655938613845	0.886570224111375	0.84988676992265	0.87878936186861	0.810947580207385	0.878436747978583	0.843211530087911	0.879294722168875	0.8456722853614	0.872688662243766	0.874142603094556	0.893108223217983	0.844176670173875	0.8891648926749	0.865734375976046	0.910626805955589	0.840122344532643	0.918718140769034	0.8645161664168	0.913974098979925	0.842829996479568	0.914408131497792	0.8754902985926	0.902199318370446	0.831493427056269	0.912201051559217	0.883689032538803	0.9120913943553	0.838065635444321	0.908648023950683	0.843638065766904	0.878213210429719	0.820299963803273	0.883637708215812	0.86392815119475	0.881701080080708	0.848719252840708	0.881084424224687	0.856398147229775	0.892128929069422	0.846096949900942	0.90362156277675	0.851491822809958	0.889030304419688	0.828083053060875	0.893845145270313	0.8799112688165	0.897382742569883	0.842175888534523	0.896985645252343
ItaSoil	0.805507453118062	0.54638645409475	0.84496982585625	0.419892641412625	0.876430838013	0.805099372392406	0.920707583830344	0.800199501899344	0.87280479855275	0.805659629869219	0.8786771759335	0.803756929060062	0.864797833973	0.82645754499425	0.809907009879875	0.864906280594	0.822872558059312	0.8234060000979	0.819394280571657	0.8648623313224	0.823300112824812	0.900413189502192	0.823562037905633	0.885564686286107	0.790803525731984	0.84022379688525	0.776391101223	0.908408114576194	0.793876271020333	0.902302844387344	0.788717535078133	0.890728372502091	0.851201162273214	0.877954524471786	0.855467289457767	0.88981511011965	0.872159186306725	0.857537310049159	0.859167898070104	0.88880368656665	0.856838510883804	0.860803491859942	0.860122245560117	0.891461524581625	0.880115913344133	0.868457001281518	0.86779307452545	0.862525373409635	0.813141791266484	0.837548652881909	0.800445506142953	0.8255926055713	0.790500919416729	0.854941087159542	0.790445668744167	0.889061359890475	0.815672896544078	0.83832859062002	0.810256236531906	0.871973839416542	0.800464766300531	0.894729763441178	0.803971698537922	0.867879553597	0.806474634964533	0.891518096452659	0.796921903659187
PulhRP	0.851870066259428	0.858032079365786	0.853943633438214	0.876430838013	0.603367866456939	0.768284846044161	0.822330192761679	0.786400948428643	0.799792778847381	0.804475925277964	0.77992181959675	0.803426415280375	0.803038063924	0.817585286303554	0.825043108940286	0.833204532691114	0.848880648119964	0.796837624723914	0.855250082203	0.875308939269172	0.888706981907634	0.867332119302725	0.897792523753867	0.845473158635235	0.858622759696768	0.825292927805743	0.864099239956482	0.880090711097413	0.875745615626809	0.861164422564518	0.891750838667514	0.882797661607533	0.88214342865405	0.860893790276602	0.897194069248753	0.876020351551057	0.889801821674971	0.853846776151558	0.892241061594822	0.864891038453214	0.883891233503683	0.84664587785945	0.895729463520181	0.867437728972827	0.896216714404343	0.847530956045918	0.885331622575352	0.850290862146417	0.869250416752205	0.833312961425182	0.871079746683544	0.819317357216085	0.861107887588964	0.825344838401714	0.86710632934506	0.817805574662886	0.837754834035723	0.806595492849879	0.857713515508277	0.816552936023857	0.831411555421152	0.847374962138613	0.855579114624339	0.848291124644238	0.859565896138619	0.878564784559234	0.87067416803559
PulhRS	0.888329112819531	0.792367821566594	0.890470928696094	0.805099372392406	0.768284846044161	0.407265484755406	0.886087585299719	0.483048226463906	0.841080847200208	0.7567443591565	0.867770635271797	0.7744504590515	0.79269430116325	0.729701253478016	0.715496082269469	0.8259541346487	0.787988123116875	0.739033157132075	0.79313404920511	0.88486219110775	0.863162362557023	0.882932429543414	0.874890931150983	0.852694901056267	0.75910073377936	0.751824071875513	0.772823356983625	0.910481332690653	0.791036002953742	0.892985683410359	0.812630764908433	0.901025732177239	0.829290441994625	0.843245833206268	0.84253206736105	0.887188934081425	0.869117927288087	0.820477792380329	0.851369352177583	0.857282244178013	0.841228092504304	0.820723335070913	0.857746211593584	0.868896246305384	0.87726690210385	0.820136523440446	0.851276286389233	0.838402585343356	0.783884853868828	0.819255479442	0.768674285453727	0.746432104351975	0.732252374370104	0.7847139553365	0.742017385857552	0.839388480989688	0.728570794765914	0.732815466737692	0.741590768193742	0.788601601250313	0.659728842264633	0.870615989444312	0.683191236254977	0.820951590689083	0.727442263892833	0.90536056422542	0.740598157191945
PulhRoot	0.874683358400094	0.914501386298281	0.83522283917175	0.920707583830344	0.822330192761678	0.886087585299719	0.653327234849	0.889645120529531	0.893283605009167	0.917757454439016	0.812687448095953	0.914720174728922	0.83184093961625	0.871053050820906	0.877481369636969	0.868984474136925	0.909960973030953	0.851546398780325	0.911433166266469	0.895759202026537	0.924704860584422	0.862905459363798	0.926838406800167	0.87956151261275	0.923929295949477	0.876151694650975	0.924543757004672	0.901359073882431	0.930432777505091	0.84696816180175	0.928566993874542	0.898499430669625	0.932794927662705	0.876139011472196	0.940884399995758	0.90013231182795	0.937294537862225	0.874701846924091	0.93929779213799	0.8957135455003	0.927625025834563	0.877184944227625	0.935447007451442	0.898495065863411	0.935096384585275	0.869013799278991	0.931883253480167	0.889757121312914	0.91809842022757	0.85902964921567	0.922599083262875	0.89343834448565	0.912186984824594	0.870706442402062	0.912710961276292	0.87750068545205	0.912504235687094	0.869255816966183	0.922884029625781	0.85338612349225	0.908652213360484	0.859838804172633	0.913639651849266	0.89144812621957	0.921951968569492	0.862502427316852	0.925287088743742
PulhSoil	0.893521343233094	0.797028217752813	0.888729694019969	0.800199501899344	0.786400948428643	0.483048226463906	0.889645120529531	0.427714509607375	0.855372027364104	0.777025493776969	0.871027712567047	0.783417970800719	0.808204158909875	0.730714492703453	0.704882531321844	0.8213128714137	0.802080258633219	0.743978821389375	0.790371560542313	0.892748009839788	0.869895806366875	0.882313760891587	0.874084810072567	0.865586680654545	0.775471180570351	0.757485291412775	0.780808078171992	0.916417918356153	0.801454089392708	0.898651750868797	0.809828315918683	0.899142255864409	0.834473919026786	0.842877596010322	0.840645862161708	0.887434887560275	0.872382814019888	0.822527151750068	0.850740791497625	0.859026155491313	0.844773890985187	0.819943277574115	0.858784667676375	0.869183204359304	0.881562823710417	0.819816363792804	0.853363071715883	0.84376293546501	0.788455604027961	0.818318540095864	0.76372269599425	0.7537755897224	0.732079854779719	0.785185613442917	0.731518703597208	0.8436953564629	0.744571386202961	0.734220723704087	0.745195749733985	0.792412347592083	0.669779617152672	0.869419987779402	0.677424250463805	0.828834730216903	0.739349728895358	0.901176923634238	0.735378563593781
SDRP	0.880625412155042	0.84667789111075	0.886056769776042	0.87280479855275	0.799792778847381	0.841080847200208	0.893283605009167	0.855372027364104	0.571743236466222	0.647213951045104	0.731874657222563	0.673003026716958	0.834211044103833	0.83760523800025	0.844351815956563	0.863664673252266	0.842644184781271	0.830367854710766	0.852691403462667	0.881933605826833	0.880650067550385	0.896886525437166	0.899988392586878	0.869168245397536	0.857705046210969	0.853910635619117	0.862285274927146	0.905348363828333	0.864324808474678	0.894840494809938	0.887795058013344	0.878070605148197	0.859415112754012	0.86932704610569	0.883419454007755	0.876479815224833	0.87829936065685	0.867354377099121	0.885743333337792	0.874924565022534	0.87573906879025	0.866925113438153	0.885151547844589	0.881174969668691	0.883047293039823	0.866521626454559	0.881138418861156	0.876188234759218	0.874302579061781	0.86709475383897	0.876427634530531	0.846826451774733	0.870741856627236	0.860180956375667	0.876370961012209	0.867923737149084	0.842572642170594	0.852505016639538	0.86096179159024	0.847119500227889	0.829658449660469	0.883900444386655	0.855651798741812	0.869489539797833	0.846453283562755	0.899748331830303	0.863768238115188
SDRS	0.89300829158375	0.779702523901156	0.904511380511781	0.805659629869219	0.804475925277965	0.7567443591565	0.917757454439016	0.777025493776969	0.647213951045104	0.364032854819906	0.764821837785109	0.442835684048594	0.82598415762225	0.791147931545109	0.788121827980891	0.84950599492235	0.763297480345766	0.7888339609108	0.773055075970688	0.880257617573062	0.837836781645282	0.904848771363913	0.86816743869205	0.878900813191991	0.786414806561524	0.808282117860487	0.794931887137813	0.918112761073306	0.799468420329167	0.905383946232016	0.83795873428215	0.88230853877858	0.778641946122946	0.856191126628902	0.804872963373383	0.879486822008125	0.82011012215615	0.843069326725693	0.817203869688489	0.871490917393413	0.804751430776973	0.846519181954086	0.814598639486292	0.877844715491741	0.834015790374525	0.850355199927688	0.822402354281467	0.868874933072279	0.820369060758656	0.850143295261989	0.818618621313922	0.815483836356125	0.808397884572042	0.833223879602958	0.817859621328739	0.876114828619913	0.766009668398899	0.824782839841221	0.781900149618149	0.845808663895104	0.726580883144789	0.892236969055241	0.760766827237062	0.850786374441083	0.7518060196851	0.912777663285102	0.781714108312109
