swe1RS	swe1Soil	swe1Root	swe1RP	swe2RS	swe2Soil	swe2Root	swe2RP	swe3RS	swe3Soil	swe3Root	swe3RP	spa1RS	spa1Soil	spa1Root	spa1RP	spa2RS	spa2Soil	spa2Root	spa2RP	spa3RS	spa3Soil	spa3Root	spa3RP	ItaRS	ItaSoil	ItaRoot	ItaRP	tou1RS	tou1Soil	tou1Root	tou1RP	tou2RS	tou2Soil	tou2Root	tou2RP	SDRS	SDSoil	SDRoot	SDRP	PulhRS	PulhSoil	PulhRoot	PulhRP	hamRS	hamSoil	hamRoot	hamRP	tub2RS	tub2Soil	tub2Root	tub2RP	tub3RS	tub3Soil	tub3Root	tub3RP	tub4RS	tub4Soil	tub4Root	tub4RP	geyenRS	geyenSoil	geyenRoot	geyenRP	swe4RS	swe4Soil	swe4Root	swe4RP
k__Fungi_p___c__	0.0667204857069715	0.0417858403440619	0.0315863394261693	0.0559700330761734	0.100238891204422	0.0886896496421694	0.0947588257192373	0.0911602414308298	0.0428164923559022	0.0487821423059078	0.0218663169250461	0.115519865794181	0.110474291007542	0.0332623855103306	0.0235159364928337	0.191103378651089	0.118074384791157	0.0875605277285165	0.0388372422170919	0.126894261812208	0.134452029757889	0.0838492583180383	0.00754959521333035	0.0982392204230579	0.101140909277315	0.0656802064619626	0.143441227730692	0.0636024910177536	0.12590626828449	0.103941115342983	0.060190320009151	0.304243641121055	0.103552697540832	0.0964705085335369	0.0524873080354917	0.145170177960966	0.123661992554625	0.121491873613846	0.123728389691954	0.108378429405675	0.137808343687989	0.14854982883264	0.0311996239922671	0.155329046360135	0.124929570198147	0.0195550834898642	0.0953854874440732	0.129345740681253	0.174867680135902	0.11780297488674	0.0967068442385683	0.141017700086424	0.136453232478037	0.0947836998578331	0.0621810085737106	0.184865061538037	0.137659862311304	0.0653468507478617	0.0502328468562908	0.105717491952115	0.17111645558808	0.122556530262339	0.000256278831368529	0.228398779199486	0.0599493428786283	0.0450654359060335	0.095950096554464	0.0964803865408393
k__Fungi_p__Ascomycota_c__	0.0618553261258288	0.0959505936737341	0.0553559923327689	0.0397284319097092	0.0757724807714923	0.0658720660986812	0.0958699172318196	0.0633240893956089	0.0950278802702005	0.108594866821475	0.0634527897432847	0.0724982828269865	0.118416388027217	0.164993306551995	0.105802688336014	0.0804539417886401	0.0715758412439311	0.0624382994407603	0.0750877042893847	0.0411486650136134	0.0941967420260369	0.12889040440751	0.113522346847728	0.0586127130118705	0.0764468349567367	0.155028936983452	0.0493224536829672	0.144580402080794	0.0847830092224427	0.0944710142268515	0.0756473996595647	0.0709949803493512	0.0928956072257375	0.102123131031233	0.110225067305289	0.110409163706574	0.126800229273587	0.148578640853332	0.0377171968738646	0.0575654429450941	0.0633921114078815	0.0736932304816258	0.0200420234772557	0.053315098029103	0.123458076275115	0.0893035322946167	0.0433523743172389	0.0708819021028801	0.102318779063298	0.135320211433529	0.0299781747591386	0.0254185676708193	0.115336542426784	0.100494541245588	0.246143881088067	0.19080937806872	0.10688335963762	0.106382728723674	0.126548145055001	0.10605522995468	0.0927249946127424	0.0709383894850011	0.00694488715939637	0.0469147557781229	0.108862709108304	0.0919183444193457	0.0321415198328472	0.110026949388914
k__Fungi_p__Ascomycota_c__Ascomycota	0.0869723664093783	0.0434625505140019	0.104774502195363	0.00283065118341217	0.000882759947980526	0.000908287743290787	0.00216444402018628	0.000609043676150991	0.128912585600955	0.083023984454778	0.162910718063932	0.000735615110042414	0.0812635598053204	0.0413870824648112	0.0497129731993342	0.00032243555739292	0.0611010200535885	0.102755722339436	0.10666608633668	0.00150320426149793	0.00221617552203112	0.0034432135226963	0.00307988325222954	0.00553326405920875	0.00459570445067474	0.00922031314079454	0.105329622442239	0.0167473698358751	0.00313520489003231	0.00200542381838707	0.00299507102212983	0.00369469123314059	0.176902581556819	0.142104378120491	0.146750300675415	0.00568129834686321	0.00113528042250752	0.00213706776254528	0.0018044962113809	0.00193222076103664	0.107874194983918	0.112186590484347	0.144635928575492	0.0282325156878588	0.000411789491778193	0.000367900152112925	0.00250351099804826	0.00200803449030841	0.00461722014957575	0.00865471513324078	0.00621846860179289	0.00345502575257906	0.108245933867636	0.111696867034677	0.0945935285671205	0.00322245690073164	0.0698729997119149	0.0744844059423124	0.0345614017440131	0.0190849574929169	0.00804287228061278	0.00344118393180482	0.000829187396351575	0.00188870072890287	0.113813886474463	0.070768838542202	0.122488525116707	0.00180908887749326
k__Fungi_p__Ascomycota_c__Dothideomycetes	0.0984259924882059	0.046229221160268	0.143152303043671	0.0967371374093175	0.0800632301421312	0.0712969916840198	0.159898894345942	0.123046128097379	0.0719319537885101	0.0933247880568464	0.0609957049298376	0.0888637335001374	0.149805810640338	0.0710892206568188	0.250738294306032	0.121510381615664	0.158488901713614	0.119562613033838	0.159746647793001	0.0724114536663277	0.211846416766758	0.154804896855308	0.322602357374006	0.118762742191415	0.250541568159605	0.193663028550277	0.0950904103513703	0.0159521976329581	0.179483882295815	0.185501362484796	0.150622438308443	0.0721737325151187	0.0373248906262008	0.0517614251105599	0.0996133776485491	0.0598865093314797	0.213142839193838	0.21160356671064	0.247084725473085	0.0871314607760184	0.0729870248780267	0.0959272192094996	0.165734435420831	0.0882429292262519	0.17482102104203	0.0523925485145009	0.194622830568573	0.100951311691028	0.114385922446003	0.125465236000264	0.162995627504885	0.03742672375816	0.0557090534063789	0.0456639446864483	0.0597058129232573	0.0558656008834777	0.0897333920167679	0.0472039749986579	0.151900633157843	0.0711712060485355	0.0911125990619932	0.120176709721731	0.280857657155308	0.049731512294201	0.105924069562483	0.074423229886015	0.154461882771238	0.105095585330087
k__Fungi_p__Ascomycota_c__Eurotiomycetes	0.039677560248777	0.0459644820291906	0.00159453985502261	0.0219899424151992	0.0846718675381346	0.0790365060268633	0.00749994787370192	0.0219584211298705	0.125792092809231	0.161010812292942	0.00415543003433625	0.0264587417420552	0.0695102811701935	0.0795845333246903	0.0029094450001605	0.0173605483750249	0.020481798491502	0.0434318584301596	0.00443563372339192	0.00237341256656759	0.0152475960707185	0.0194588890448003	0.000771501125666599	0.00506641709588921	0.0150573950773942	0.0373936926630663	0.0239328035130994	0.00125621584966849	0.0152436856737559	0.00854218689685255	0.00509005470546625	0.00502430060875634	0.0192779962663305	0.0225928893144776	0.00503667148879265	0.0106098589839587	0.0137445707124018	0.014127706563106	0.00717933872955477	0.00932515773573691	0.0100878203235073	0.0120743286639983	0.00760311052757589	0.00627880873474386	0.0245780413190098	0.0199132351845423	0.0105936736541395	0.0168224797710997	0.00751680559655736	0.0138654112880878	0.00467505650657059	0.00124778007569398	0.0342231093838112	0.0521878657306966	0.0121468211016583	0.0207678473319612	0.0322289384983391	0.0685010236893871	0.00874992754550536	0.0161188601060681	0.0137458301887642	0.0243834771422236	0.00130151112425797	0.00846495871537087	0.0565529999385294	0.0417194721330535	0.0034851221273127	0.0227040589329045
k__Fungi_p__Ascomycota_c__Leotiomycetes	0.161139890280773	0.0477589377821283	0.398905465075454	0.220277992387373	0.112961258216136	0.131840210778635	0.21583020225058	0.140229539040344	0.0832328839094855	0.075161815142605	0.248523475783973	0.265292101922227	0.0820032990574159	0.037152706744782	0.217367378619951	0.161174018083182	0.127852268859132	0.0555065904675119	0.121247732417648	0.142275412085109	0.0551609850921922	0.0603043025967143	0.111166018074274	0.0845123315879777	0.0315336660067409	0.0790927286211075	0.200816935944508	0.0375061808396357	0.0373593090765316	0.0335197041486201	0.0370972044501642	0.0580373207159043	0.0205759277549713	0.0170720643211113	0.0568374474754217	0.125589090147001	0.0351033505907438	0.0201159680437802	0.0531791364509533	0.0419653911377252	0.0931947682789491	0.0569501087210718	0.210178124973582	0.119826211271177	0.108077221725774	0.0264739734583879	0.194241657808055	0.0960424899109567	0.0291770031790782	0.0334067256243182	0.109121353860148	0.0367523455527454	0.0650392281507179	0.0363514266054154	0.116145419233146	0.124808919061245	0.0265140930866172	0.0396712460045924	0.0961747335770377	0.0936586739607219	0.1216030261473	0.110168712020458	0.0586055428195318	0.219684213929455	0.0900734183517241	0.106379212187739	0.116904019625434	0.0841652009628707
k__Fungi_p__Ascomycota_c__Pezizomycetes	0.0332210649088829	0.0554584079187869	0.00210816591615313	0.0262507638187296	0.000244303116605343	0.000387735044892082	0.000572702147607868	0.00245546422581294	0.000807912285615316	0.000657004078906083	0.000562816274922478	0.000456770273052853	0.00221547055258914	0.0591890113897306	0.00807913222813966	0.00330321576818778	0.0128324371057177	0.0126232012890353	0.0018257787459019	0.0229152792628165	0.00882200320821801	0.0723611121753971	0.00126915651030132	0.0120008487749773	2.35560162065392e-05	5.35851460150975e-05	0.000732277526395173	0	0.000158615586894612	0.00048716584250152	0.000547256201807182	0.000695396413021266	0.00201751338948294	0.00390922853095656	0.001515944510281	0.00394622772189243	0.000959015520588437	0.000508635230072978	0.000120876377904947	0.0020728068812768	0.00474058801206487	0.0110029583591249	0.000155696674860966	0.00697318555811271	0.0482860812906539	0.187831111094737	0.000815084176321815	0.033534711956554	0.00142333575126527	0.00407100194510308	0.00259642115431318	0.000188536836391799	0.000330706199758127	0.000666737577468835	0.00062355820636721	0.00041840591493701	0.0138108175910884	0.03129495486251	0.000289172234570776	0.00334955577906899	0.00180248620607447	0.00166983091634361	0	0.000980354552161857	0.0872070681739462	0.168992173419029	0.0053467298694549	0.122861784792633
k__Fungi_p__Ascomycota_c__Pezizomycotina	0.0119463597225739	0.010086271491939	0.0161949026394716	0.0178703556002045	0.0415680649192546	0.00334620110249303	0.103541681087642	0.121674661800153	0.00975927880277687	0.00927756645306125	0.00429602884288084	0.012328166640385	0.0127106451060297	0.00568850661738366	0.0151832431247886	0.00317126434893985	0.00610985450656726	0.0129603877319954	0.00399960187737125	0.00170793724314586	0.00258120692114038	0.0018451490630742	0.00047112600345367	0.00122384385894368	0.0085453620275745	0.0118508750460557	0.00484248390248029	0.000737941835059693	0.00374241545287223	0.00586976118017009	0.00278228052245553	0.00243218148476357	0.0125652088804028	0.0138439671374642	0.00479759991794355	0.0104675917927717	0.0298238646185023	0.0356001322160486	0.00203765399012982	0.0898986152466622	0.0110551461680579	0.00732378171157617	0.00892716201344036	0.00556533336772205	0.00655365785632373	0.00469648200508493	0.0239534255626123	0.00620147940632477	0.00621491751323035	0.00577719687380873	0.00233065807778555	0.00128501896385828	0.0225926610766734	0.0236796782661331	0.0107425125035996	0.0274010336491847	0.0244785775644551	0.017241102750417	0.0225763656237274	0.0103616644045977	0.0040040262164104	0.00549066163014604	0	0.0012872063109205	0.0128694568942989	0.00954780590303713	0.0120632166667667	0.0144777904570787
k__Fungi_p__Ascomycota_c__Sordariomycetes	0.151425633142857	0.143357743430249	0.144319653002137	0.109746042458559	0.245095776449799	0.294254122473917	0.185830020472499	0.111790037769703	0.244899397580666	0.215726237900655	0.190308161529499	0.0986669886095675	0.128890390306406	0.102261850531044	0.147777882686818	0.102748391844209	0.144179900523135	0.246227770671526	0.233661771757599	0.0511568392838006	0.135236140031694	0.163747894995571	0.342906433353912	0.12251067946291	0.143067078839996	0.183175326671255	0.138955582166927	0.0220887332303279	0.379854036184635	0.404397125598505	0.468903606252949	0.153116580353378	0.36588463098812	0.385962378459387	0.284968010327577	0.0903564574186225	0.210868350698986	0.217232754905287	0.19491564046733	0.091734163706868	0.207922470435352	0.255827928283365	0.231774299687871	0.146644426766943	0.127420357584122	0.0477719099299115	0.229990895475194	0.127898008138706	0.185120561763614	0.265681753212956	0.236222431506675	0.0254666795733524	0.240066457571669	0.278260107229642	0.2111549655477	0.130506982815066	0.223376126850283	0.182045833970437	0.342468776953042	0.170695847774827	0.165722654234516	0.208019207116429	0.32242150770154	0.101197201477297	0.157400969081039	0.102198105717463	0.19064326457767	0.0902211674957766
k__Fungi_p__Basidiomycota_c__	0.024309299821048	0.0163484266354372	0.0151740795255434	0.0952688592033499	0.0231327541896368	0.0296355924377342	0.0337328672247672	0.0697204726890399	0.0188146700775454	0.0191582217757038	0.0401622788106057	0.0542963567050499	0.0248186801684204	0.00944011399668384	0.011540492509886	0.0710023197221787	0.0403318000506741	0.0311159560596024	0.0786568992925769	0.111584736361779	0.101958506410904	0.0148909415428217	0.00182604191878293	0.283356953074763	0.0520919809935281	0.0197753264165501	0.0112368533926982	0.407516003517974	0.0545975263565537	0.0318215031728562	0.0423883775745462	0.194641734599273	0.0357288437784874	0.0308025867680176	0.116525512148104	0.192811589823528	0.035262553881893	0.026859820245592	0.00799925288782092	0.130767552495037	0.075421367867511	0.0275037775542811	0.0123008529687973	0.128117399189678	0.022326948847886	0.00725597807664334	0.0785868467172638	0.189650064158645	0.18950935391949	0.0460901465383562	0.136005697091938	0.417681341022702	0.0349236661930513	0.0254657680196979	0.0576059795021307	0.0602292250269837	0.044713808694282	0.013208410004834	0.0155804990079515	0.177865946363123	0.0311649015052607	0.0277164186370879	0.000552791597567717	0.0302139855648765	0.0174625230596671	0.020046427079708	0.0401557789112437	0.0707792542886788
