ItaRP	ItaSoil	PulhRP	PulhRS	PulhRoot	PulhSoil	SDRP	SDRS	SDRoot	SDSoil	geyenRP	geyenRS	geyenRoot	geyenSoil	hamRP	hamRS	hamRoot	hamSoil	spa1RP	spa1RS	spa1Root	spa1Soil	spa2RP	spa2RS	spa2Root	spa2Soil	spa3RP	spa3RS	spa3Root	spa3Soil	swe1RP	swe1RS	swe1Root	swe1Soil	swe2RP	swe2RS	swe2Root	swe2Soil	swe3RP	swe3RS	swe3Root	swe3Soil	swe4RP	swe4RS	swe4Root	swe4Soil	tou1RP	tou1RS	tou1Root	tou1Soil	tou2RP	tou2RS	tou2Root	tou2Soil	tub2RP	tub2RS	tub2Root	tub2Soil	tub3RP	tub3RS	tub3Root	tub3Soil	tub4RP	tub4RS	tub4Root	tub4Soil	
ItaRP	0	0.832585226483	0.91921196174225	0.910792093651875	0.94708242889825	0.925843101022625	0.93996292912875	0.9357785349895	0.871182519796	0.91478386643025	1	0.929124298768375	0.892938317023667	0.911654429009143	0.9259173871326	0.902004470159625	0.914531802184125	0.909213674603	0.880090023289	0.883587747803667	0.900598780597125	0.886028955227222	0.9169445619878	0.909292487236308	0.9120411571592	0.904494340556375	0.9022213782254	0.9186840773506	0.921381511453429	0.926519937512857	0.920221367422	0.90428700005675	0.910248150173375	0.907367800818556	0.924176256746667	0.927805605346909	0.9134182307417	0.91150630305675	0.911061868698	0.908125305076714	0.898055594376417	0.913362642882	0.89241463711	0.917051466556125	0.91320928814675	0.9084623409879	0.907525244122	0.913175324312812	0.91386063371675	0.91560357660675	0.90158320651825	0.908853488257429	0.924030624932167	0.913667823583875	0.948170527438	0.9074805091435	0.898805125127	0.91960864712125	0.909385603278	0.91052912688025	0.9017065148094	0.9222764634605	0.9647244165735	0.9288036542258	0.94249346915725	0.921100017271267
ItaSoil	0.832585226483	0	0.92455274000025	0.937928483155625	0.96462432466975	0.934162306591875	0.883209879469	0.883452770515875	0.911980883828	0.887735920133125	0.954328509281	0.903159118763875	0.913217045176	0.906201986998143	0.9506328971884	0.902284247765125	0.92593000672825	0.8993236561755	0.898143442311	0.905393473008889	0.9167808973505	0.897979762530111	0.9432144829498	0.913248282609692	0.9288389331217	0.885711444962625	0.9273496241042	0.9024471075976	0.927521355856571	0.894347637981214	0.903497733524	0.912949505993625	0.910625922422375	0.897189665844222	0.918773817031	0.913325493310818	0.9239346449597	0.900544378222083	0.886303102037571	0.895551320019786	0.915463384731667	0.892070641537182	0.883415857845143	0.9029142746365	0.896526794545	0.9113247255464	0.909327354602539	0.887976985271188	0.911820868964375	0.891991121275687	0.90275023528275	0.897432288388	0.9172797576395	0.891585267574875	0.9400067517468	0.889449507838562	0.9274270985029	0.887778997791125	0.873061856633	0.9086291080615	0.9196158895774	0.902954691987167	0.915338246158	0.9055829458904	0.94897751983625	0.915061191317
PulhRP	0.91921196174225	0.92455274000025	0.471129835170125	0.558029424260469	0.643697748681937	0.533864505800656	0.797473982290688	0.842765049790812	0.80213049266775	0.704000237311625	0.86627293758175	0.701753002495937	0.65391304982425	0.638689557489857	0.74842862980635	0.633969344470062	0.62324551133375	0.620909562918	0.66291432317005	0.684916825141305	0.658235097288656	0.661051212854111	0.67944578773145	0.683196454275654	0.647445067756525	0.715586971080812	0.8672758518601	0.838588447635467	0.820905356018214	0.797927473688857	0.70152037549175	0.63077758443125	0.604699183627781	0.642740580193417	0.774526590220333	0.758064088642909	0.691528884622425	0.738401263961917	0.654202662562786	0.698387710433786	0.6612658372805	0.668980767443682	0.685327812139286	0.618950788815	0.599983263264563	0.660502699683075	0.716707592219462	0.706456144943922	0.583947657458938	0.704139791601813	0.607522437398594	0.6241339939865	0.636604156623125	0.618495697442	0.81099718133145	0.766101135102531	0.67056988131375	0.747473976426625	0.7597568821285	0.685641359431563	0.6425668423034	0.645549045502646	0.776285398768562	0.8205992644079	0.805268801255	0.7901355128521
PulhRS	0.910792093651875	0.937928483155625	0.558029424260469	0.384209215181031	0.478784402446906	0.431980936746813	0.830360186880875	0.873571830091453	0.83441167877565	0.708146761791375	0.92403294704725	0.686776089151938	0.539888117386083	0.579424190921357	0.71272414559215	0.53438411464439	0.52098461806875	0.538345940918672	0.5737682594042	0.592369879663986	0.556313862898141	0.571353650655792	0.591802634997725	0.605608321563712	0.548535346232363	0.641916397392883	0.888487759658475	0.851260169161933	0.821842474356928	0.817547199028964	0.663384966733375	0.5457132801165	0.521360556476469	0.55320198302782	0.752313943767438	0.726811925868477	0.629357115410575	0.699541135792355	0.607891809156893	0.64437143884925	0.583220438430271	0.579404019676375	0.675020025718607	0.520830398614234	0.504798896946297	0.5905734916895	0.702349831838692	0.685678605525586	0.482285695219734	0.687850602569109	0.524895291256937	0.560943549374321	0.572154035938104	0.568380292229516	0.817177804739875	0.709369029955008	0.59804148254715	0.706884731794438	0.809046414700667	0.646684177055615	0.5548936673631	0.601504835439083	0.853472071211906	0.845270272730225	0.867555439422812	0.8200881544312
PulhRoot	0.94708242889825	0.96462432466975	0.643697748681938	0.478784402446906	0.353949404687406	0.515544656119062	0.873887980648187	0.936722937705719	0.883163756601925	0.800671625245031	0.989914489235875	0.778588830401656	0.57910197616275	0.664122430186964	0.681852885190675	0.623300489226797	0.552318680768141	0.610436628958844	0.613064604546775	0.640500292482722	0.588735423296547	0.632197917226861	0.618309554885625	0.675044892564221	0.58710033051825	0.697426499454047	0.94966840132235	0.931891278809741	0.885076741904303	0.900522238511902	0.697136572118875	0.619540247869375	0.585698110677688	0.625851706611	0.783102225417208	0.786456719035693	0.679882180264475	0.772211053204834	0.662282558113393	0.704098173983036	0.626151862272594	0.631728662057739	0.735232050325447	0.61162517459175	0.560183889622828	0.66183552496715	0.772637432938394	0.800849103409039	0.544615660883578	0.788170273653219	0.593706571650625	0.644526182762929	0.637559867823396	0.660512703311875	0.846003614895825	0.779009871170554	0.651366775673113	0.780064494335211	0.885686178186708	0.721257815688573	0.604268748693825	0.69764442586876	0.963482708785125	0.93646237547565	0.952910106836531	0.9103882097686
PulhSoil	0.925843101022625	0.934162306591875	0.533864505800656	0.431980936746813	0.515544656119062	0.313245817594563	0.825773416315969	0.863560850147844	0.8501664491237	0.710339465431453	0.916994507936875	0.715403356084922	0.582260316427333	0.597907547719304	0.75818178188035	0.528417861629297	0.529337669475406	0.502544816554812	0.605756157168125	0.626688986013708	0.594630367760625	0.596100076653625	0.62217947882375	0.594650956945058	0.53910032982885	0.640213842601875	0.895811470567925	0.840450316546367	0.835787858541589	0.803460479006482	0.719182670273	0.522898754133656	0.498668456708344	0.535450572376083	0.783436655569354	0.729902645875455	0.636098911698738	0.673441486207854	0.614076012177482	0.616466098443	0.573227852378469	0.581991896902295	0.699305770140178	0.497609799275938	0.472370342471703	0.5435405732539	0.714363595547394	0.674971965374516	0.444504918699562	0.655753180450242	0.504630470006172	0.5410631960735	0.563423989055646	0.534127179694375	0.83901209717425	0.721114765316859	0.607490818425525	0.686012720894234	0.823560268251792	0.652298638493761	0.58798252600265	0.558189594099594	0.829310067405344	0.832566608399609	0.869348957658812	0.796551044983283
SDRP	0.93996292912875	0.883209879469	0.797473982290688	0.830360186880875	0.873887980648187	0.825773416315969	0.3232935236965	0.536840683332156	0.62528687808445	0.617070752401562	0.84109724866775	0.779171677560188	0.806013295922083	0.774098104212179	0.84316080110985	0.830910934745156	0.830742123417906	0.822397960911344	0.7971599848967	0.81659570931075	0.823612456841781	0.814974834222972	0.82506908987855	0.833317289858443	0.829176298275425	0.828915099534188	0.8347901661079	0.829072941861083	0.826745725784893	0.814899365031964	0.75036497152625	0.800428479830594	0.821065368378531	0.81570355490875	0.830281400065667	0.81041616264025	0.819507952042425	0.813375546513792	0.751065800310393	0.815301554518714	0.818708777333729	0.805512986155136	0.754704520557928	0.821925862220625	0.817453434554469	0.825436666395575	0.7760994189705	0.800824338724125	0.82399305059875	0.794880277755828	0.817767401779469	0.810327500659393	0.827197793824958	0.817150594827313	0.8071456559189	0.842794381541859	0.8160344973278	0.829991492980844	0.724569841562917	0.792610079535958	0.8201010797258	0.794717253491041	0.811736574847812	0.86016606430765	0.807880473184	0.818979478613234
SDRS	0.9357785349895	0.883452770515875	0.842765049790812	0.873571830091453	0.936722937705719	0.863560850147844	0.536840683332156	0.424528915178969	0.72365729844725	0.550808223793375	0.859655235385375	0.810321182154078	0.8544822838885	0.816356810768804	0.907733683531675	0.848654903993453	0.867210927112766	0.848782183467453	0.8516211195266	0.843948959219056	0.863348386740641	0.845411163591333	0.884347501139275	0.855375098244615	0.870304684962013	0.858376158282586	0.8870929232046	0.84316224048165	0.87812934477675	0.828412521340964	0.820222090647	0.82414383858761	0.855420043952234	0.839106853697195	0.875931258621292	0.838036186606887	0.858054100449975	0.837379973971177	0.816849913517285	0.844816164646152	0.865051730750271	0.847755571847466	0.810152966419483	0.84947398475525	0.852807793892922	0.853570443994737	0.8252553363285	0.80807055872936	0.853647863281063	0.802372792641008	0.851283368730484	0.834581320905	0.859222631457896	0.839483598685406	0.870113978067225	0.854689948289484	0.860472561344	0.838004098112969	0.795913673722333	0.80992108791401	0.86075934361385	0.812007922126177	0.823168223237875	0.859290590716424	0.841378099374844	0.829908421727725
SDRoot	0.871182519796	0.911980883828	0.80213049266775	0.83441167877565	0.883163756601925	0.8501664491237	0.62528687808445	0.72365729844725	0.49754476432736	0.74308525564385	0.832540630086	0.78503606817945	0.816496840736	0.784453546504771	0.8118897969188	0.85618839020815	0.848032300786475	0.857295088741275	0.81825386209992	0.834794775888356	0.8172285590181	0.836848310155156	0.83288612121272	0.860550098055031	0.8464198014693	0.8605249426708	0.85340715405952	0.874352977688693	0.836016807662857	0.858070903243571	0.7486584044726	0.837278601537425	0.835326348758275	0.850730061142511	0.8287890723316	0.843625963841655	0.83697346615676	0.863217383193633	0.802354433404571	0.863431555472028	0.8374147081764	0.849386705754	0.7764369266762	0.865514477111225	0.864450321806175	0.86979295006944	0.813913724419969	0.849880764707462	0.86346460273175	0.843494195949612	0.852650356501875	0.842792502739571	0.8388694779938	0.85501022532625	0.8572280113034	0.86450102840285	0.82886675182078	0.8659030183368	0.777827621588133	0.82283679220395	0.79637854689376	0.847592554640417	0.8198164978338	0.889042138216333	0.78716642819575	0.847396061350199
SDSoil	0.91478386643025	0.887735920133125	0.704000237311625	0.708146761791375	0.800671625245031	0.710339465431453	0.617070752401563	0.550808223793375	0.74308525564385	0.331826823277687	0.859822641718875	0.684707318265375	0.699061571673042	0.646146195002625	0.797497943841725	0.705187721524734	0.701532661196218	0.697748204239359	0.697955399300025	0.701606732857431	0.707664433389594	0.695885630382625	0.742923753909175	0.736578690920327	0.74044793496325	0.74713199675507	0.85214048086755	0.782158095629017	0.813777421276321	0.705366486244625	0.69857313918625	0.688864175458891	0.708996616807281	0.699755630238708	0.781405622697063	0.752390195089012	0.744553083584	0.751778954634688	0.668190539089393	0.749002678002839	0.747424344080864	0.714866954043579	0.665048083615357	0.715877262856281	0.702672087152453	0.73487033336395	0.739398450829269	0.706785843494406	0.702533869919829	0.703302145334438	0.697159672123125	0.686251287837411	0.714270956310083	0.684478911737844	0.82194857834655	0.761090733160883	0.728587919976025	0.743974408850398	0.737326971422667	0.683033423867739	0.69887050672355	0.672786759944386	0.754576261607219	0.798550020031275	0.777887239204375	0.761771642674858
