soil	rs	rp	root	root_n	root_y1	root_y2	root_y3
Zotu1_OTU_27	0.744172494172494	0.79516317016317	0.887566137566138	0.82991452991453	0.857142857142857	0.866666666666667	0.7	0.923076923076923
Zotu1_OTU_11	0.170673076923077	0.262674825174825	0.636243386243386	1	0.857142857142857	1	1	1
Zotu3_OTU_11	0	0	0	0.148717948717949	0	0.0666666666666667	0	0.230769230769231
Zotu1_OTU_1	0.876748251748252	0.939393939393939	1	0.944444444444445	1	0.933333333333333	0.9	1
Zotu2_OTU_1	0.816142191142191	0.872086247086247	1	0.841025641025641	0.5	0.8	0.8	0.923076923076923
Zotu9_OTU_1	0.164918414918415	0.539044289044289	0.808201058201058	0.262393162393162	0.285714285714286	0.533333333333333	0.1	0.153846153846154
Zotu3_OTU_1	0.374271561771562	0.774329836829837	0.972222222222222	0.490598290598291	0.285714285714286	0.533333333333333	0.4	0.538461538461538
Zotu1_OTU_13	0.170454545454545	0.188665501165501	0.488095238095238	0.9	0.428571428571429	0.8	0.9	1
Zotu3_OTU_13	0.200029137529138	0	0	0.316666666666667	0	0.133333333333333	0.5	0
Zotu13_OTU_13	0	0	0	0.226923076923077	0	0	0.3	0.153846153846154
Zotu8_OTU_9	0	0	0.207671957671958	0.281196581196581	0.428571428571429	0.466666666666667	0.3	0.0769230769230769
Zotu1_OTU_9	0.876748251748252	0.96969696969697	1	0.952136752136752	0.928571428571429	0.933333333333333	1	0.923076923076923
Zotu2_OTU_9	0.16958041958042	0.350524475524476	0.534391534391534	0.325641025641026	0.5	0.6	0.3	0.0769230769230769
Zotu20_OTU_9	0	0.125	0.776455026455027	0.321367521367521	0.357142857142857	0.333333333333333	0.4	0.230769230769231
Zotu3_OTU_9	0.318327505827506	0.790355477855478	0.976190476190476	0.74957264957265	0.5	0.733333333333333	0.9	0.615384615384615
Zotu2_OTU_14	0.502185314685315	0.953525641025641	1	0.837606837606838	1	0.866666666666667	0.8	0.846153846153846
Zotu1_OTU_14	0.979166666666667	1	1	0.893162393162393	1	0.933333333333333	0.9	0.846153846153846
Zotu56_OTU_14	0	0	0.366402116402116	0.465811965811966	0.642857142857143	0.866666666666667	0.3	0.230769230769231
Zotu109_OTU_14	0	0	0.333333333333333	0.399145299145299	0.571428571428571	0.666666666666667	0.3	0.230769230769231
Zotu18_OTU_14	0	0.160110722610723	0.392857142857143	0.271794871794872	0.357142857142857	0.466666666666667	0	0.0769230769230769
Zotu235_OTU_14	0	0	0.285714285714286	0.266666666666667	0.214285714285714	0.333333333333333	0.2	0
Zotu13_OTU_14	0.194711538461538	0.160110722610723	0.259259259259259	0.316666666666667	0.357142857142857	0.533333333333333	0.1	0
Zotu29_OTU_14	0	0	0.164021164021164	0.176923076923077	0.285714285714286	0.2	0	0.153846153846154
Zotu3_OTU_101	0.174388111888112	0	0	0.214529914529915	0.285714285714286	0.266666666666667	0.3	0.0769230769230769
Zotu1_OTU_101	0.504224941724942	0.811334498834499	0.972222222222222	0.944444444444445	0.714285714285714	0.933333333333333	0.9	1
Zotu2_OTU_101	0.292977855477855	0.497231934731935	0.637566137566138	0.365811965811966	0.142857142857143	0.466666666666667	0.4	0.230769230769231
Zotu5_OTU_101	0.225524475524476	0.16958041958042	0.253968253968254	0.2	0	0.2	0.2	0
Zotu1_OTU_5	0.853146853146853	1	1	1	1	1	1	1
Zotu30_OTU_5	0	0.261363636363636	0	0.181196581196581	0.428571428571429	0.266666666666667	0.2	0.0769230769230769
Zotu4_OTU_5	0.29763986013986	0.544143356643357	0.920634920634921	1	1	1	1	1
Zotu56_OTU_5	0	0	0	0.225641025641026	0.214285714285714	0.4	0.2	0.0769230769230769
Zotu13_OTU_5	0	0	0	0.333333333333333	0.5	0.266666666666667	0.4	0
Zotu21_OTU_5	0	0	0.5	0.220512820512821	0.0714285714285714	0.133333333333333	0	0.307692307692308
Zotu4_OTU_8	0.753496503496504	0.711829836829837	0.498677248677249	0.394871794871795	0.214285714285714	0.2	0.6	0.384615384615385
Zotu6_OTU_8	0.604749417249417	0.380827505827506	0.489417989417989	0.292307692307692	0.142857142857143	0.2	0	0.384615384615385
Zotu1_OTU_8	1	1	1	0.852136752136752	0.642857142857143	0.733333333333333	0.9	0.923076923076923
Zotu7_OTU_8	0.251165501165501	0.225670163170163	0	0.184615384615385	0.285714285714286	0.2	0.2	0.153846153846154
Zotu3_OTU_8	0.241841491841492	0.169726107226107	0.751322751322751	0.191452991452991	0	0.0666666666666667	0.2	0.307692307692308
Zotu1_OTU_4486	0	0	0.232142857142857	0.818803418803419	0.285714285714286	0.733333333333333	0.8	0.923076923076923
Zotu3_OTU_4987	0.841637529137529	0.918414918414919	0.948412698412698	0.818803418803419	1	0.933333333333333	0.6	0.923076923076923
Zotu1_OTU_4987	0.820804195804196	0.871940559440559	0.925925925925926	0.818803418803419	0.785714285714286	0.933333333333333	0.6	0.923076923076923
Zotu26_OTU_4987	0	0.211247086247086	0.260582010582011	0.21025641025641	0.142857142857143	0.2	0.2	0.230769230769231
Zotu1_OTU_4	0.918414918414919	1	1	0.941025641025641	0.928571428571429	1	0.9	0.923076923076923
Zotu2_OTU_4	0.774329836829837	0.96969696969697	1	0.870940170940171	0.785714285714286	0.866666666666667	0.9	0.846153846153846
Zotu19_OTU_4	0	0	0.812169312169312	0.247008547008547	0.285714285714286	0.333333333333333	0.1	0.307692307692308
Zotu34_OTU_4	0	0	0.85978835978836	0.305982905982906	0.285714285714286	0.333333333333333	0.2	0.384615384615385
Zotu7_OTU_4	0.144085081585082	0.523164335664336	0.802910052910053	0.327350427350427	0	0.266666666666667	0.1	0.615384615384615
Zotu4_OTU_16	0	0	0.404761904761905	0.276923076923077	0.285714285714286	0.4	0.2	0.230769230769231
Zotu1_OTU_16	0.872086247086247	0.744026806526807	0.816137566137566	0.822222222222222	0.5	0.666666666666667	0.8	1
