soil	rs	rp	root	root_n	root_y1	root_y2	root_y3
Zotu1_OTU_7	0.774038461538462	0.799679487179487	0.848484848484849	1	0.6875	1	1	1
Zotu1_OTU_1	0.741987179487179	0.798076923076923	0.776893939393939	0.944444444444445	0.4375	1	0.833333333333333	1
Zotu1_OTU_89	0.232371794871795	0.22275641025641	0.5625	0.8	0.4375	0.8	0	0
Zotu1_OTU_2	0.974358974358974	0.974358974358974	0.872727272727273	1	0.8125	1	1	1
Zotu2_OTU_2	0.762820512820513	0.690705128205128	0.525757575757576	0.693434343434344	0.375	0.8	0.916666666666667	0.363636363636364
Zotu1_OTU_190	0	0.25	0.5625	0.8	0.375	0.8	0	0
Zotu1_OTU_102	0.269230769230769	0.274038461538462	0.232954545454545	0.866666666666667	0.5625	0.866666666666667	0	0
Zotu2_OTU_102	0.092948717948718	0.100961538461538	0	0.133333333333333	0.125	0.133333333333333	0	0
Zotu1_OTU_120	0.315705128205128	0.315705128205128	0.420454545454545	0.8	0.4375	0.8	0	0
Zotu1_OTU_3	1	0.974358974358974	0.86969696969697	0.888888888888889	1	1	0.666666666666667	1
