	Site	Species	Fraction	Sampletype	Experiment	ph	AvailableNO3	AvailableP	AvailableK	AvailableCa	AvailableMg	ReserveP	ReserveK	ReserveCa	ReserveMg	Boron	Manganesium	Copper	Iron	MeanAirTemperature	MeanRelativeHumidity	latitude	longitude
geyen.Root.1P.V5.Y1	GE2	At	Root	Pooled	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.Root.1S.V5.Y1	GE2	At	Root	Single	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.Root.2P.V5.Y1	GE2	At	Root	Pooled	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.Root.2S.V5.Y1	GE2	At	Root	Single	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.Root.3P.V5.Y1	GE2	At	Root	Pooled	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.Root.3S.V5.Y1	GE2	At	Root	Single	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.Root.4P.V5.Y1	GE2	At	Root	Pooled	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.Root.4S.V5.Y1	GE2	At	Root	Single	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.Root.N1.V5.Y1	GE2	Neighbor	Root	Neighbor	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.Root.N2.V5.Y1	GE2	Neighbor	Root	Neighbor	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.Root.N3.V5.Y1	GE2	Neighbor	Root	Neighbor	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.RP.1P.V5.Y1	GE2	At	RP	Pooled	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.RP.2P.V5.Y1	GE2	At	RP	Pooled	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.RP.2S.V5.Y1	GE2	At	RP	Single	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.RP.3P.V5.Y1	GE2	At	RP	Pooled	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.RP.3S.V5.Y1	GE2	At	RP	Single	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.RP.4P.V5.Y1	GE2	At	RP	Pooled	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyen.RP.N1.V5.Y1	GE2	Neighbor	RP	Neighbor	First	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
