	Site	Fraction	Sampletype	ph	AvailableNO3	AvailableP	AvailableK	AvailableCa	AvailableMg	ReserveP	ReserveK	ReserveCa	ReserveMg	Boron	Manganesium	Copper	Iron	MeanAirTemperature	MeanRelativeHumidity	latitude	longitude
geyenRoot	GE2	Root	Pooled	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyenRP	GE2	RP	Neighbor	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyenRS	GE2	RS	Neighbor	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
geyenSoil	GE2	Soil	Pooled	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	50.978847	6.792978
hamRoot	GE6	Root	Pooled	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	53.34415	9.52255
hamRP	GE6	RP	Neighbor	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	53.34415	9.52255
hamRS	GE6	RS	Neighbor	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	53.34415	9.52255
hamSoil	GE6	Soil	Pooled	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	53.34415	9.52255
PulhRoot	GE1	RP	Neighbor	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	50.9855	6.82615
PulhRP	GE1	RP	Neighbor	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	50.9855	6.82615
PulhRS	GE1	RS	Neighbor	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	50.9855	6.82615
PulhSoil	GE1	Soil	Pooled	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	50.9855	6.82615
SDRoot	FR3	Root	Neighbor	6.9	17.2	1.5	13.5	24	5.5	17.9	45.6	470.1	79.6	-0.1	362	6	265	12.07	79.8	48.2841	6.94
SDRP	FR3	RP	Pooled	6.9	17.2	1.5	13.5	24	5.5	17.9	45.6	470.1	79.6	-0.1	362	6	265	12.07	79.8	48.2841	6.94
SDRS	FR3	RS	Neighbor	6.9	17.2	1.5	13.5	24	5.5	17.9	45.6	470.1	79.6	-0.1	362	6	265	12.07	79.8	48.2841	6.94
SDSoil	FR3	Soil	Pooled	6.9	17.2	1.5	13.5	24	5.5	17.9	45.6	470.1	79.6	-0.1	362	6	265	12.07	79.8	48.2841	6.94
spa1Root	SP1	Root	Neighbor	7.4	7	0.4	29.5	27.9	7	7.4	127	2398	76.8	0.4	109	1.2	43	18.07	56.8	39.58143	-3.93133
spa1RP	SP1	RP	Pooled	7.4	7	0.4	29.5	27.9	7	7.4	127	2398	76.8	0.4	109	1.2	43	18.07	56.8	39.58143	-3.93133
spa1RS	SP1	RS	Neighbor	7.4	7	0.4	29.5	27.9	7	7.4	127	2398	76.8	0.4	109	1.2	43	18.07	56.8	39.58143	-3.93133
spa1Soil	SP1	Soil	Pooled	7.4	7	0.4	29.5	27.9	7	7.4	127	2398	76.8	0.4	109	1.2	43	18.07	56.8	39.58143	-3.93133
spa2Root	SP2	Root	Neighbor	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	41.21372	-4.54556
spa2RP	SP2	RP	Pooled	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	41.21372	-4.54556
spa2RS	SP2	RS	Neighbor	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	41.21372	-4.54556
spa2Soil	SP2	Soil	Pooled	7.5	3	0.8	6	79.7	4.6	15	8.7	3766	47.5	0	19	0.4	29	13.1	67.4	41.21372	-4.54556
spa3Root	SP3	Root	Neighbor	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	41.79275	-3.10814
spa3RP	SP3	RP	Pooled	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	41.79275	-3.10814
spa3RS	SP3	RS	Neighbor	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	41.79275	-3.10814
spa3Soil	SP3	Soil	Pooled	7.5	4.2	0	6.7	82.1	2.4	20.2	13.6	4347	47.5	0.3	54	1.2	96	12.8	68.8	41.79275	-3.10814
swe1Root	SW1	Root	Neighbor	5.6	22.2	1.1	39	21.1	8.4	7.1	211.2	1024	164.8	0	34	1.7	337	7.6	80.38	59.260877	17.1351
swe1RP	SW1	RP	Pooled	5.6	22.2	1.1	39	21.1	8.4	7.1	211.2	1024	164.8	0	34	1.7	337	7.6	80.38	59.260877	17.1351
swe1RS	SW1	RS	Neighbor	5.6	22.2	1.1	39	21.1	8.4	7.1	211.2	1024	164.8	0	34	1.7	337	7.6	80.38	59.260877	17.1351
swe1Soil	SW1	Soil	Pooled	5.6	22.2	1.1	39	21.1	8.4	7.1	211.2	1024	164.8	0	34	1.7	337	7.6	80.38	59.260877	17.1351
swe2Root	SW2	Root	Neighbor	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	63.03991	18.19189
swe2RP	SW2	RP	Pooled	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	63.03991	18.19189
swe2RS	SW2	RS	Neighbor	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	63.03991	18.19189
swe2Soil	SW2	Soil	Pooled	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	63.03991	18.19189
swe3Root	SW3	Root	Neighbor	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3RP	SW3	RP	Pooled	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3RS	SW3	RS	Neighbor	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe3Soil	SW3	Soil	Pooled	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	63.00974	18.19028
swe4Root	SW4	Root	Neighbor	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4RP	SW4	RP	Pooled	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4RS	SW4	RS	Neighbor	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
swe4Soil	SW4	Soil	Pooled	6.2	8	1.4	11.7	14.8	5.9	5.8	62	897.6	100.8	0	35	3.2	712	6	80	62.4843	18.12073
tou1RP	FR1	Root	Neighbor	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1RS	FR1	RP	Pooled	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1Root	FR1	RS	Neighbor	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou1Soil	FR1	Soil	Pooled	7.6	55.9	14.9	29.1	147	37.3	133.1	59.3	21760	1519	1	193	2	117	15.07	73.8	43.5649	1.6519
tou2Root	FR2	Root	Neighbor	7.6	22.2	7.7	11.9	144.5	20	137	87.3	5845	231.9	1.6	187	3.8	165	15.07	73.8	43.3122	1.515
