OTU_190	OTU_89	OTU_102	OTU_7	OTU_120	OTU_1	OTU_2	OTU_3
Arabidopsis	0.0105250905691447	0.00321668863750869	0.0512114847672149	0.0314793048422779	0.00491579848841045	0.109665956238684	0.0620939366300555	0.0538523616790137
spa3.RS.2P.ITS1.Y3	0	0.00109766806517709	0	7.3177871011806e-05	0	0.000439067226070836	0.0148795004390672	0.0739096497219241
spa3.RS.3P.ITS1.Y3	0	0.000244070522023775	0.000502498133578361	0.000416355596393499	0	0.000258427611554586	0.0263596163785677	0.0178315051972664
spa3.Soil.3P.ITS1.Y3	0	0.000198833510074231	0	0.000795334040296925	0	0.00178950159066808	0.0322110286320254	0.00523594909862142
swe4.Soil.1P.ITS1.Y3	0	0	0	2.43480801538799e-05	0	9.73923206155195e-05	0.000779138564924156	0.0333812178909693
spa1.RP.1P.ITS1.Y3	0	0	0	3.98755881649254e-05	0	3.98755881649254e-05	0.000119626764494776	0.000119626764494776
spa1.RS.2P.ITS1.Y3	0	0	0	0	0	0.000777873811581677	0.00017286084701815	0.00777873811581677
swe1.Soil.1P.ITS1.Y3	0	0	0	0.000132460857816515	0	7.94765146899091e-05	0.00823906535618725	0.00749728455241476
swe2.Soil.2P.ITS1.Y3	0	0	0	4.68227424749164e-05	0	0.000190635451505017	0.21533779264214	0.032066889632107
swe1.RS.4P.ITS1.Y3	0	0	0	0	0	0.000415498078321388	0.157889269762127	0.0109068245559364
Ita.Soil.2P.ITS1.Y3	0	5.66379700951518e-05	0	0.00181241504304486	0	0.0143860444041686	0.091413683733575	0.00181241504304486
spa3.Soil.1P.ITS1.Y3	0	0.00121697682673292	0	0.00182546524009939	0	0.00192687997566046	0.0610516708077684	0.0094822777749607
swe1.Soil.3P.ITS1.Y3	0	2.55859175110019e-05	0	0	0	0.000230273257599017	0.000639647937775049	0.00296796643127623
spa1.Root.1P.ITS1.Y3	0	0	0	0	0	0.00529450694904037	0	0.00330906684315023
