OTU_984	OTU_1217	OTU_1795	OTU_337	OTU_1	OTU_8
Arabidopsis	0.00202128340701541	0.0032531732941941	0.00740336132922575	0.00167503639592862	0.123163368218711	0.00956722175250549
tub4.RS.1S.ITS1o.Y1	0	0	0	0	3.7424029220682e-06	0.0042364001077812
spa3.RP.N1.ITS1o.Y1	0	0	0	0	0.000204817948354367	0.000330859762726284
tub4.RS.2P.ITS1o.Y1	0	0	0	0	0	0.0172049294443203
tub4.RP.1P.ITS1o.Y1	0	0	0	0	0	0.0546050609568692
tub4.Soil.3P.ITS1o.Y1	0	0	0	0	0	0.0106064920273349
tub4.RS.N3.ITS1o.Y1	0	0	0	0	0	0
spa3.Root.2P.ITS1o.Y1	0	0	0	0	0	0
spa3.Soil.4P.ITS1o.Y1	2.4662128834961e-05	2.4662128834961e-05	0.00113445792640821	0.000221959159514649	0.00143040347242774	0.0014550656012627
tub4.RS.4P.ITS1o.Y1	0	0	0	0	0	0.00386963792634076
spa3.Root.N3.ITS1o.Y1	2.26716241951573e-05	2.26716241951573e-05	4.53432483903147e-05	0	0	0.311757504307609
tub4.Soil.N2.ITS1o.Y1	0	0	0	0	0	0
tub4.RP.N2.ITS1o.Y1	0	0	0	0	0	0
tub4.Soil.1S.ITS1o.Y1	0	0	0	0	0	0.0521331162578996
spa3.Soil.1P.ITS1o.Y1	0	9.52256252157456e-05	0.000559450548142505	0.000119032031519682	0.00098796586161336	0.000880837033245646
tub4.RS.3P.ITS1o.Y1	0	0	0	0	0	0.000129186448341569
tub4.RP.2P.ITS1o.Y1	0	0	0	0	0	0.125786817874421
tub4.Soil.2P.ITS1o.Y1	0	0	0	0	0	0.0106925837104888
spa3.RS.2P.ITS1o.Y1	0	0	0	0	0.000141402714932127	0
tub4.RS.3S.ITS1o.Y1	0	0	0	0	0	0
tub4.Soil.4P.ITS1o.Y1	0	0	0	0	0	0.0020570610857705
spa3.RS.3P.ITS1o.Y1	0	0	0	0	0.000444454841048913	0
tub4.Soil.4S.ITS1o.Y1	0	0	0	0	0	0.0024414504023872
spa3.RS.N1.ITS1o.Y1	0	4.81452059411184e-05	0.000577742471293421	4.81452059411184e-05	0.000794395898028454	0.000890686309910691
tub4.Soil.1P.ITS1o.Y1	0	0	0	0	0	0.0866346332309088
spa3.Soil.4S.ITS1o.Y1	2.49818881311049e-05	7.49456643933148e-05	0.00117414874216193	0.000724474755802043	0.00207349671488171	0.00222338804366834
spa3.Soil.1S.ITS1o.Y1	2.44516712717314e-05	7.33550138151943e-05	0.000635743453065017	0.000146710027630389	0.000929163508325794	0.223317113724723
tub4.Soil.2S.ITS1o.Y1	0	0	0	0	0	0.120442586468667
spa3.RS.N2.ITS1o.Y1	2.8791063253966e-05	0.000172746379523796	0.000806149771111047	8.63731897618979e-05	0.00112285146690467	0.000892522960872945
spa3.RS.1P.ITS1o.Y1	0	0	0	0	0.000238891543239369	0.000716674629718108
spa3.Root.3P.ITS1o.Y1	1.29983232163051e-05	0	0	0	0	0
spa3.Root.N1.ITS1o.Y1	0	0	0	0	0	0.000306689668391796
tub4.Soil.N3.ITS1o.Y1	0	0	0	0	0	0
tub4.RP.3P.ITS1o.Y1	0	0	0	0	3.25013000520021e-05	0.000650026001040042
spa3.Soil.2S.ITS1o.Y1	2.69469145782808e-05	5.38938291565616e-05	0.000511991376987335	8.08407437348424e-05	0.00191323093505794	0.00412287793047696
spa3.RS.N3.ITS1o.Y1	5.65530892124982e-05	5.65530892124982e-05	0.000848296338187473	0.000480701258306235	0.00178142231019369	0.00873745228333098
tub4.RS.2S.ITS1o.Y1	0	0	0	0	0	0.000916025949062951
spa3.Root.1S.ITS1o.Y1	0.00187811062071556	0.00112686637242934	0.00441355995868157	9.3905531035778e-05	0.197389426237205	0.0085454033242558
tub4.RS.N2.ITS1o.Y1	0	0	0	0	0	0
tub4.Soil.N1.ITS1o.Y1	0	0	0	0	0	0
spa3.Soil.N2.ITS1o.Y1	0	0	0.00113880804757687	0.000316335568771353	0.00328988991522207	0.00151841073010249
tub4.RP.4S.ITS1o.Y1	0	0	0	0	0	0
tub4.Soil.3S.ITS1o.Y1	0	0	0	0	0	0.000336686166407138
spa3.Soil.2P.ITS1o.Y1	4.82928478292365e-05	4.82928478292365e-05	0.000458782054377747	0.000217317815231564	0.00222147100014488	0.00214903172840102
spa3.RP.2P.ITS1o.Y1	0	0	0	0	0	0
spa3.RP.N2.ITS1o.Y1	5.70874008106411e-05	0.000114174801621282	0	0	0.00245475823485757	0.00239767083404693
tub4.RS.4S.ITS1o.Y1	0	0	0	0	0	0.0392395010977718
tub4.Root.2P.ITS1o.Y1	0	0	0	0	0	0.274691358024691
tub4.RS.N1.ITS1o.Y1	0	0	0	0	0	0.00307576423325592
spa3.RS.4S.ITS1o.Y1	0	0	0	0	0	3.12607458813967e-05
spa3.Soil.N1.ITS1o.Y1	2.43938137288384e-05	2.43938137288384e-05	0.000780602039322828	0.000414694833390252	0.00204908035322242	0.00258574425525687
spa3.Soil.3P.ITS1o.Y1	0	0	0	0	0	0
tub4.RS.1P.ITS1o.Y1	0	0	0	0	0	0.0174774249927177
spa3.RS.1S.ITS1o.Y1	0.000956937799043062	0	0.00502392344497608	0.00143540669856459	0.00956937799043062	0.0138755980861244
spa3.Soil.N3.ITS1o.Y1	0.000149790293588975	0.000149790293588975	0.00269622528460156	0.000748951467944877	0.00464349910125824	0.00554224086279209
spa3.RS.4P.ITS1o.Y1	0	0	0	0	0.000958932666249739	0
tub4.Root.1S.ITS1o.Y1	0	0	0	0	0.00312546509897306	0.204420300639976
spa3.Soil.3S.ITS1o.Y1	0.000329012305060209	0.000329012305060209	0.00276370336250576	0.000526419688096335	0.00532999934197539	0.00526419688096335
spa3.Root.2S.ITS1o.Y1	0	0	0	0	0.000296445617051552	0
spa3.RS.2S.ITS1o.Y1	7.09018718094158e-05	0.000141803743618832	0.00333238797504254	7.09018718094158e-05	0.00616846284741917	0.00560124787294385
spa3.RP.3P.ITS1o.Y1	0	0	0	0	0	0
spa3.Root.1P.ITS1o.Y1	0	0	0	0	0	0.000227195274338294
