Barcodename	Run	Country	Site_old	Site	Species	Processingdays	Fraction	Sampletype	Replicate	Experiment	Soiltype	ph	AvailableNO3	AvailableP	AvailableK	AvailableCa	AvailableMg	ReserveP	ReserveK	ReserveCa	ReserveMg	Boron	Manganesium	Copper	Iron	MeanAirTemperature	MeanRelativeHumidity	included	latitude	longitude	bac_obs	fun_obs
geyen.Root.1P.XXX.Y1	B5-82	4	Germany	Geyen	GE2	At	0	Root	Pooled	1	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	0
geyen.Root.1S.XXX.Y1	B5-78	4	Germany	Geyen	GE2	At	0	Root	Single	1	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	56	0
geyen.Root.2P.XXX.Y1	B5-83	4	Germany	Geyen	GE2	At	0	Root	Pooled	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	0
geyen.Root.2S.XXX.Y1	B5-79	4	Germany	Geyen	GE2	At	0	Root	Single	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	0
geyen.Root.3P.XXX.Y1	B5-84	4	Germany	Geyen	GE2	At	0	Root	Pooled	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	0
geyen.Root.3S.XXX.Y1	B5-80	4	Germany	Geyen	GE2	At	0	Root	Single	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	0
geyen.Root.4P.XXX.Y1	B5-85	4	Germany	Geyen	GE2	At	0	Root	Pooled	4	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	0
geyen.Root.4S.XXX.Y1	B5-81	4	Germany	Geyen	GE2	At	0	Root	Single	4	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	0
geyen.Root.N1.XXX.Y1	B5-86	4	Germany	Geyen	GE2	Neighbor	0	Root	Neighbor	1	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	0
geyen.Root.N2.XXX.Y1	B5-87	4	Germany	Geyen	GE2	Neighbor	0	Root	Neighbor	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	33	34
geyen.Root.N3.XXX.Y1	B5-88	4	Germany	Geyen	GE2	Neighbor	0	Root	Neighbor	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	45	25
geyen.RP.1P.XXX.Y1	B5-60	4	Germany	Geyen	GE2	At	0	RP	Pooled	1	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	144	0
geyen.RP.2P.XXX.Y1	B5-61	4	Germany	Geyen	GE2	At	0	RP	Pooled	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	168	157
geyen.RP.2S.XXX.Y1	B5-57	4	Germany	Geyen	GE2	At	0	RP	Single	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	104	0
geyen.RP.3P.XXX.Y1	B5-62	4	Germany	Geyen	GE2	At	0	RP	Pooled	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	0
geyen.RP.3S.XXX.Y1	B5-58	4	Germany	Geyen	GE2	At	0	RP	Single	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	97	0
geyen.RP.4P.XXX.Y1	B5-63	4	Germany	Geyen	GE2	At	0	RP	Pooled	4	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	0
geyen.RP.N1.XXX.Y1	B5-64	4	Germany	Geyen	GE2	Neighbor	0	RP	Neighbor	1	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	117	125
geyen.RP.N2.XXX.Y1	B5-65	4	Germany	Geyen	GE2	Neighbor	0	RP	Neighbor	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	133	132
geyen.RP.N3.XXX.Y1	B5-66	4	Germany	Geyen	GE2	Neighbor	0	RP	Neighbor	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	146	168
geyen.RS.1P.XXX.Y1	B5-71	4	Germany	Geyen	GE2	At	0	RS	Pooled	1	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	230
geyen.RS.1S.XXX.Y1	B5-67	4	Germany	Geyen	GE2	At	0	RS	Single	1	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	177
geyen.RS.2P.XXX.Y1	B5-72	4	Germany	Geyen	GE2	At	0	RS	Pooled	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	333	253
geyen.RS.2S.XXX.Y1	B5-68	4	Germany	Geyen	GE2	At	0	RS	Single	2	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	272	184
geyen.RS.3P.XXX.Y1	B5-73	4	Germany	Geyen	GE2	At	0	RS	Pooled	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	0	252
geyen.RS.3S.XXX.Y1	B5-69	4	Germany	Geyen	GE2	At	0	RS	Single	3	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	328	93
geyen.RS.4P.XXX.Y1	B5-74	4	Germany	Geyen	GE2	At	0	RS	Pooled	4	First	Loam	6.5	15.7	19.3	29.9	46.3	7.8	117.2	162.5	1505	97.7	0.3	220	3.5	321	12.07	79.9	yes	50.978847	6.792978	281	182
